forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-101402-6029.0,Opening-Year-Model-Run,101402-6029.0,Opening-Year-Forecast-poi-101402-6029.0,00:00:00,23:59:59,volume,61940
Design-Year-101402-6029.0,Design-Year-Model-Run,101402-6029.0,Design-Year-Forecast-poi-101402-6029.0,00:00:00,23:59:59,volume,63250
Opening-Year-101402-6030.0,Opening-Year-Model-Run,101402-6030.0,Opening-Year-Forecast-poi-101402-6030.0,00:00:00,23:59:59,volume,92740
Design-Year-101402-6030.0,Design-Year-Model-Run,101402-6030.0,Design-Year-Forecast-poi-101402-6030.0,00:00:00,23:59:59,volume,95830
Opening-Year-101402-6031.0,Opening-Year-Model-Run,101402-6031.0,Opening-Year-Forecast-poi-101402-6031.0,00:00:00,23:59:59,volume,120890
Design-Year-101402-6031.0,Design-Year-Model-Run,101402-6031.0,Design-Year-Forecast-poi-101402-6031.0,00:00:00,23:59:59,volume,124010
Opening-Year-101402-6032.0,Opening-Year-Model-Run,101402-6032.0,Opening-Year-Forecast-poi-101402-6032.0,00:00:00,23:59:59,volume,62920
Design-Year-101402-6032.0,Design-Year-Model-Run,101402-6032.0,Design-Year-Forecast-poi-101402-6032.0,00:00:00,23:59:59,volume,63190
Opening-Year-101402-6033.0,Opening-Year-Model-Run,101402-6033.0,Opening-Year-Forecast-poi-101402-6033.0,00:00:00,23:59:59,volume,61940
Design-Year-101402-6033.0,Design-Year-Model-Run,101402-6033.0,Design-Year-Forecast-poi-101402-6033.0,00:00:00,23:59:59,volume,63250
Opening-Year-101402-6034.0,Opening-Year-Model-Run,101402-6034.0,Opening-Year-Forecast-poi-101402-6034.0,00:00:00,23:59:59,volume,99690
Design-Year-101402-6034.0,Design-Year-Model-Run,101402-6034.0,Design-Year-Forecast-poi-101402-6034.0,00:00:00,23:59:59,volume,102560
Opening-Year-101402-6035.0,Opening-Year-Model-Run,101402-6035.0,Opening-Year-Forecast-poi-101402-6035.0,00:00:00,23:59:59,volume,88280
Design-Year-101402-6035.0,Design-Year-Model-Run,101402-6035.0,Design-Year-Forecast-poi-101402-6035.0,00:00:00,23:59:59,volume,91140
Opening-Year-101402-6036.0,Opening-Year-Model-Run,101402-6036.0,Opening-Year-Forecast-poi-101402-6036.0,00:00:00,23:59:59,volume,91970
Design-Year-101402-6036.0,Design-Year-Model-Run,101402-6036.0,Design-Year-Forecast-poi-101402-6036.0,00:00:00,23:59:59,volume,95050
Opening-Year-101402-6037.0,Opening-Year-Model-Run,101402-6037.0,Opening-Year-Forecast-poi-101402-6037.0,00:00:00,23:59:59,volume,124180
Design-Year-101402-6037.0,Design-Year-Model-Run,101402-6037.0,Design-Year-Forecast-poi-101402-6037.0,00:00:00,23:59:59,volume,141450
Opening-Year-101402-6038.0,Opening-Year-Model-Run,101402-6038.0,Opening-Year-Forecast-poi-101402-6038.0,00:00:00,23:59:59,volume,135920
Design-Year-101402-6038.0,Design-Year-Model-Run,101402-6038.0,Design-Year-Forecast-poi-101402-6038.0,00:00:00,23:59:59,volume,153200
Opening-Year-101402-6044.0,Opening-Year-Model-Run,101402-6044.0,Opening-Year-Forecast-poi-101402-6044.0,00:00:00,23:59:59,volume,68060
Design-Year-101402-6044.0,Design-Year-Model-Run,101402-6044.0,Design-Year-Forecast-poi-101402-6044.0,00:00:00,23:59:59,volume,79940
Opening-Year-101402-6045.0,Opening-Year-Model-Run,101402-6045.0,Opening-Year-Forecast-poi-101402-6045.0,00:00:00,23:59:59,volume,123390
Design-Year-101402-6045.0,Design-Year-Model-Run,101402-6045.0,Design-Year-Forecast-poi-101402-6045.0,00:00:00,23:59:59,volume,135300
Opening-Year-101402-6046.0,Opening-Year-Model-Run,101402-6046.0,Opening-Year-Forecast-poi-101402-6046.0,00:00:00,23:59:59,volume,108840
Design-Year-101402-6046.0,Design-Year-Model-Run,101402-6046.0,Design-Year-Forecast-poi-101402-6046.0,00:00:00,23:59:59,volume,114640
