forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,101434-5187,Opening Year,00:00:00,24:00,volume,6700
f3,1,101434-5187,Design Year,00:00:00,24:00,volume,8600
f1,1,101434-5188,Opening Year,00:00:00,24:00,volume,5300
f3,1,101434-5188,Design Year,00:00:00,24:00,volume,6700
f1,1,101434-5189,Opening Year,00:00:00,24:00,volume,5000
f3,1,101434-5189,Design Year,00:00:00,24:00,volume,6500
f1,1,101434-5252,Opening Year,00:00:00,24:00,volume,5300
f3,1,101434-5252,Design Year,00:00:00,24:00,volume,6700
f1,1,101434-5253,Opening Year,00:00:00,24:00,volume,2900
f3,1,101434-5253,Design Year,00:00:00,24:00,volume,3800
