forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,101616-5064,Opening Year,00:00:00,00:00:00,volume,54000
f3,1,101616-5064,Design Year,00:00:00,00:00:00,volume,59000
f1,1,101616-5167,Opening Year,00:00:00,00:00:00,volume,7200
f3,1,101616-5167,Design Year,00:00:00,00:00:00,volume,7200
f1,1,101616-5193,Opening Year,00:00:00,00:00:00,volume,5700
f3,1,101616-5193,Design Year,00:00:00,00:00:00,volume,5700
f1,1,101616-5194,Opening Year,00:00:00,00:00:00,volume,6000
f3,1,101616-5194,Design Year,00:00:00,00:00:00,volume,6000
f1,1,101616-5195,Opening Year,00:00:00,00:00:00,volume,3100
f3,1,101616-5195,Design Year,00:00:00,00:00:00,volume,3100
f1,1,101616-5196,Opening Year,00:00:00,00:00:00,volume,6400
f3,1,101616-5196,Design Year,00:00:00,00:00:00,volume,6400
f1,1,101616-5197,Opening Year,00:00:00,00:00:00,volume,4800
f3,1,101616-5197,Design Year,00:00:00,00:00:00,volume,4800
f1,1,101616-5198,Opening Year,00:00:00,00:00:00,volume,7200
f3,1,101616-5198,Design Year,00:00:00,00:00:00,volume,7300
f1,1,101616-5269,Opening Year,00:00:00,00:00:00,volume,1800
f3,1,101616-5269,Design Year,00:00:00,00:00:00,volume,1900
f1,1,101616-5270,Opening Year,00:00:00,00:00:00,volume,3000
f3,1,101616-5270,Design Year,00:00:00,00:00:00,volume,3000
f1,1,101616-5288,Opening Year,00:00:00,00:00:00,volume,5700
f3,1,101616-5288,Design Year,00:00:00,00:00:00,volume,5800
