obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
102103-6028-1,102103-6028,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6028-1,102103-6028,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6079-1,102103-6079,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6079-1,102103-6079,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6080-1,102103-6080,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6080-1,102103-6080,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6081-1,102103-6081,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6081-1,102103-6081,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6082-1,102103-6082,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6082-1,102103-6082,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6083-1,102103-6083,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
102103-6083-1,102103-6083,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
