obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
102987-5050-1,102987-5050,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,84727
102987-5050-1,102987-5050,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,84727
102987-5051-1,102987-5051,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,80927
102987-5051-1,102987-5051,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,80927
102987-5052-1,102987-5052,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,66559
102987-5052-1,102987-5052,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,66559
102987-5053-1,102987-5053,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,66559
102987-5053-1,102987-5053,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,66559
102987-5060-1,102987-5060,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,39422
102987-5060-1,102987-5060,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,39422
102987-5061-1,102987-5061,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,39406
102987-5061-1,102987-5061,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,39406
102987-5062-1,102987-5062,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,40382
102987-5062-1,102987-5062,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,40382
102987-5072-1,102987-5072,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,44274
102987-5072-1,102987-5072,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,44274
102987-5073-1,102987-5073,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,44150
102987-5073-1,102987-5073,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,44150
