obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
10754-1143-1,10754-1143,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,96060
10754-1144-1,10754-1144,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,88710
10754-1145-1,10754-1145,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,86890
10754-1146-1,10754-1146,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,92420
10754-1162-1,10754-1162,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,23500
10754-1163-1,10754-1163,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,23500
10754-1164-1,10754-1164,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,23500
10754-1171-1,10754-1171,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,28630
10754-1172-1,10754-1172,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,24270
10754-1173-1,10754-1173,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,12650
10754-1174-1,10754-1174,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,13250
10754-1175-1,10754-1175,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,14110
10754-1176-1,10754-1176,Opening Year,unknown,unknown,2010,00:00:00,23:59:59,volume,10360
