poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
10754-1143.0, WAR750,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, WAR750
10754-1144.0, WAR750.38,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, WAR750.38
10754-1145.0, WAR754.1,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, WAR754.1
10754-1146.0, WAR758.17,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, WAR758.17
10754-1162.0, WAR1220,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAR1220
10754-1163.0, WAR1220,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAR1220
10754-1164.0, WAR1220,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAR1220
10754-1171.0, WAR630,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, WAR630
10754-1172.0, WAR630.11,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, WAR630.11
10754-1173.0, WAR12327.57,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, WAR12327.57
10754-1174.0, WAR12328.15,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, WAR12328.15
10754-1175.0, WAR1220.72,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, WAR1220.72
10754-1176.0, WAR1221.11,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, WAR1221.11
