obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
11385-7-1,11385-7,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,62330
11385-7-1,11385-7,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,59970
11385-8-1,11385-8,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,51440
11385-8-1,11385-8,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,52020
11385-9-1,11385-9,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,50470
11385-9-1,11385-9,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,53590
11385-10-1,11385-10,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,33180
11385-10-1,11385-10,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,45300
11385-11-1,11385-11,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,21910
11385-11-1,11385-11,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,18020
11385-12-1,11385-12,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,17830
11385-12-1,11385-12,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,16280
11385-13-1,11385-13,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,27280
11385-13-1,11385-13,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,27460
11385-14-1,11385-14,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,9880
11385-14-1,11385-14,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,10410
11385-15-1,11385-15,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,22630
11385-15-1,11385-15,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,24350
11385-16-1,11385-16,Opening Year,unknown,unknown,2002,00:00:00,24:00:00,volume,10230
11385-16-1,11385-16,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,9530
