forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,12995-849,Opening Year,00:00:00,00:00:00,volume,130870
f3,1,12995-849,Design Year,00:00:00,00:00:00,volume,151010
f1,1,12995-850,Opening Year,00:00:00,00:00:00,volume,85330
f3,1,12995-850,Design Year,00:00:00,00:00:00,volume,98460
f1,1,12995-851,Opening Year,00:00:00,00:00:00,volume,100990
f3,1,12995-851,Design Year,00:00:00,00:00:00,volume,116530
f1,1,12995-852,Opening Year,00:00:00,00:00:00,volume,95390
f3,1,12995-852,Design Year,00:00:00,00:00:00,volume,110060
f1,1,12995-853,Opening Year,00:00:00,00:00:00,volume,148210
f3,1,12995-853,Design Year,00:00:00,00:00:00,volume,171010
