obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
16488-2307-1,16488-2307,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,28190
16488-2307-1,16488-2307,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,31490
16488-2308-1,16488-2308,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,27805
16488-2308-1,16488-2308,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,31150
16488-2309-1,16488-2309,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,31650
16488-2309-1,16488-2309,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,32620
16488-2310-1,16488-2310,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,8700
16488-2310-1,16488-2310,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,8040
16488-2319-1,16488-2319,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,5450
16488-2319-1,16488-2319,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,4030
