forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,18735-1741,Opening Year,00:00:00,24:00,volume,42840
f3,1,18735-1741,Design Year,00:00:00,24:00,volume,54680
f1,1,18735-1742,Opening Year,00:00:00,24:00,volume,120990
f3,1,18735-1742,Design Year,00:00:00,24:00,volume,134720
f1,1,18735-1743,Opening Year,00:00:00,24:00,volume,134150
f3,1,18735-1743,Design Year,00:00:00,24:00,volume,145540
f1,1,18735-1744,Opening Year,00:00:00,24:00,volume,126010
f3,1,18735-1744,Design Year,00:00:00,24:00,volume,135140
f1,1,18735-1745,Opening Year,00:00:00,24:00,volume,124080
f3,1,18735-1745,Design Year,00:00:00,24:00,volume,136260
f1,1,18735-1746,Opening Year,00:00:00,24:00,volume,128950
f3,1,18735-1746,Design Year,00:00:00,24:00,volume,142110
f1,1,18735-1747,Opening Year,00:00:00,24:00,volume,126350
f3,1,18735-1747,Design Year,00:00:00,24:00,volume,139670
f1,1,18735-1748,Opening Year,00:00:00,24:00,volume,122670
f3,1,18735-1748,Design Year,00:00:00,24:00,volume,135290
