forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-19578-18.0,Opening-Year-Model-Run,19578-18.0,Opening-Year-Forecast-poi-19578-18.0,00:00:00,23:59:59,volume,21450
Design-Year-19578-18.0,Design-Year-Model-Run,19578-18.0,Design-Year-Forecast-poi-19578-18.0,00:00:00,23:59:59,volume,30190
Opening-Year-19578-19.0,Opening-Year-Model-Run,19578-19.0,Opening-Year-Forecast-poi-19578-19.0,00:00:00,23:59:59,volume,20770
Design-Year-19578-19.0,Design-Year-Model-Run,19578-19.0,Design-Year-Forecast-poi-19578-19.0,00:00:00,23:59:59,volume,29380
Opening-Year-19578-20.0,Opening-Year-Model-Run,19578-20.0,Opening-Year-Forecast-poi-19578-20.0,00:00:00,23:59:59,volume,9350
Design-Year-19578-20.0,Design-Year-Model-Run,19578-20.0,Design-Year-Forecast-poi-19578-20.0,00:00:00,23:59:59,volume,12180
Opening-Year-19578-21.0,Opening-Year-Model-Run,19578-21.0,Opening-Year-Forecast-poi-19578-21.0,00:00:00,23:59:59,volume,10320
Design-Year-19578-21.0,Design-Year-Model-Run,19578-21.0,Design-Year-Forecast-poi-19578-21.0,00:00:00,23:59:59,volume,13370
Opening-Year-19578-22.0,Opening-Year-Model-Run,19578-22.0,Opening-Year-Forecast-poi-19578-22.0,00:00:00,23:59:59,volume,11850
Design-Year-19578-22.0,Design-Year-Model-Run,19578-22.0,Design-Year-Forecast-poi-19578-22.0,00:00:00,23:59:59,volume,14800
Opening-Year-19578-23.0,Opening-Year-Model-Run,19578-23.0,Opening-Year-Forecast-poi-19578-23.0,00:00:00,23:59:59,volume,3290
Design-Year-19578-23.0,Design-Year-Model-Run,19578-23.0,Design-Year-Forecast-poi-19578-23.0,00:00:00,23:59:59,volume,5760
