obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
20424-131-1,20424-131,Opening Year,unknown,unknown,,00:00,24:00,volume,43330
20424-131-1,20424-131,Design Year,unknown,unknown,,00:00,24:00,volume,40940
20424-132-1,20424-132,Opening Year,unknown,unknown,,00:00,24:00,volume,34150
20424-132-1,20424-132,Design Year,unknown,unknown,,00:00,24:00,volume,31500
20424-133-1,20424-133,Opening Year,unknown,unknown,,00:00,24:00,volume,34150
20424-133-1,20424-133,Design Year,unknown,unknown,,00:00,24:00,volume,31500
20424-134-1,20424-134,Opening Year,unknown,unknown,,00:00,24:00,volume,34150
20424-134-1,20424-134,Design Year,unknown,unknown,,00:00,24:00,volume,31500
20424-135-1,20424-135,Opening Year,unknown,unknown,,00:00,24:00,volume,34150
20424-135-1,20424-135,Design Year,unknown,unknown,,00:00,24:00,volume,31500
20424-136-1,20424-136,Opening Year,unknown,unknown,,00:00,24:00,volume,34150
20424-136-1,20424-136,Design Year,unknown,unknown,,00:00,24:00,volume,31500
20424-137-1,20424-137,Opening Year,unknown,unknown,,00:00,24:00,volume,34150
20424-137-1,20424-137,Design Year,unknown,unknown,,00:00,24:00,volume,31500
