obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
24247-515-1,24247-515,Opening Year,unknown,unknown,2008,00:00:00,24:00:00,volume,12360
24247-515-1,24247-515,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,12360
24247-516-1,24247-516,Opening Year,unknown,unknown,2008,00:00:00,24:00:00,volume,22870
24247-516-1,24247-516,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,22870
24247-517-1,24247-517,Opening Year,unknown,unknown,2008,00:00:00,24:00:00,volume,10800
24247-517-1,24247-517,Design Year,unknown,unknown,2011,00:00:00,24:00:00,volume,10250
24247-518-1,24247-518,Opening Year,unknown,unknown,2008,00:00:00,24:00:00,volume,10800
24247-518-1,24247-518,Design Year,unknown,unknown,2011,00:00:00,24:00:00,volume,10250
24247-519-1,24247-519,Opening Year,unknown,unknown,2008,00:00:00,24:00:00,volume,11560
24247-519-1,24247-519,Design Year,unknown,unknown,2008,00:00:00,24:00:00,volume,11560
