forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-24316-39.0,Opening-Year-Model-Run,24316-39.0,Opening-Year-Forecast-poi-24316-39.0,00:00:00,23:59:59,volume,7280
Design-Year-24316-39.0,Design-Year-Model-Run,24316-39.0,Design-Year-Forecast-poi-24316-39.0,00:00:00,23:59:59,volume,8680
Opening-Year-24316-40.0,Opening-Year-Model-Run,24316-40.0,Opening-Year-Forecast-poi-24316-40.0,00:00:00,23:59:59,volume,12170
Design-Year-24316-40.0,Design-Year-Model-Run,24316-40.0,Design-Year-Forecast-poi-24316-40.0,00:00:00,23:59:59,volume,14510
Opening-Year-24316-41.0,Opening-Year-Model-Run,24316-41.0,Opening-Year-Forecast-poi-24316-41.0,00:00:00,23:59:59,volume,8540
Design-Year-24316-41.0,Design-Year-Model-Run,24316-41.0,Design-Year-Forecast-poi-24316-41.0,00:00:00,23:59:59,volume,10180
Opening-Year-24316-51.0,Opening-Year-Model-Run,24316-51.0,Opening-Year-Forecast-poi-24316-51.0,00:00:00,23:59:59,volume,5760
Design-Year-24316-51.0,Design-Year-Model-Run,24316-51.0,Design-Year-Forecast-poi-24316-51.0,00:00:00,23:59:59,volume,6870
Opening-Year-24316-61.0,Opening-Year-Model-Run,24316-61.0,Opening-Year-Forecast-poi-24316-61.0,00:00:00,23:59:59,volume,4440
Design-Year-24316-61.0,Design-Year-Model-Run,24316-61.0,Design-Year-Forecast-poi-24316-61.0,00:00:00,23:59:59,volume,5290
Opening-Year-24316-62.0,Opening-Year-Model-Run,24316-62.0,Opening-Year-Forecast-poi-24316-62.0,00:00:00,23:59:59,volume,9450
Design-Year-24316-62.0,Design-Year-Model-Run,24316-62.0,Design-Year-Forecast-poi-24316-62.0,00:00:00,23:59:59,volume,10300
