forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-25658-543.0,Opening-Year-Model-Run,25658-543.0,Opening-Year-Forecast-poi-25658-543.0,00:00:00,23:59:59,volume,7980
Design-Year-25658-543.0,Design-Year-Model-Run,25658-543.0,Design-Year-Forecast-poi-25658-543.0,00:00:00,23:59:59,volume,8330
Opening-Year-25658-544.0,Opening-Year-Model-Run,25658-544.0,Opening-Year-Forecast-poi-25658-544.0,00:00:00,23:59:59,volume,9890
Design-Year-25658-544.0,Design-Year-Model-Run,25658-544.0,Design-Year-Forecast-poi-25658-544.0,00:00:00,23:59:59,volume,10970
Opening-Year-25658-551.0,Opening-Year-Model-Run,25658-551.0,Opening-Year-Forecast-poi-25658-551.0,00:00:00,23:59:59,volume,8800
Design-Year-25658-551.0,Design-Year-Model-Run,25658-551.0,Design-Year-Forecast-poi-25658-551.0,00:00:00,23:59:59,volume,10800
Opening-Year-25658-552.0,Opening-Year-Model-Run,25658-552.0,Opening-Year-Forecast-poi-25658-552.0,00:00:00,23:59:59,volume,7380
Design-Year-25658-552.0,Design-Year-Model-Run,25658-552.0,Design-Year-Forecast-poi-25658-552.0,00:00:00,23:59:59,volume,7750
Opening-Year-25658-553.0,Opening-Year-Model-Run,25658-553.0,Opening-Year-Forecast-poi-25658-553.0,00:00:00,23:59:59,volume,5540
Design-Year-25658-553.0,Design-Year-Model-Run,25658-553.0,Design-Year-Forecast-poi-25658-553.0,00:00:00,23:59:59,volume,6660
Opening-Year-25658-554.0,Opening-Year-Model-Run,25658-554.0,Opening-Year-Forecast-poi-25658-554.0,00:00:00,23:59:59,volume,4380
Design-Year-25658-554.0,Design-Year-Model-Run,25658-554.0,Design-Year-Forecast-poi-25658-554.0,00:00:00,23:59:59,volume,4670
Opening-Year-25658-555.0,Opening-Year-Model-Run,25658-555.0,Opening-Year-Forecast-poi-25658-555.0,00:00:00,23:59:59,volume,4790
Design-Year-25658-555.0,Design-Year-Model-Run,25658-555.0,Design-Year-Forecast-poi-25658-555.0,00:00:00,23:59:59,volume,5110
Opening-Year-25658-556.0,Opening-Year-Model-Run,25658-556.0,Opening-Year-Forecast-poi-25658-556.0,00:00:00,23:59:59,volume,3340
Design-Year-25658-556.0,Design-Year-Model-Run,25658-556.0,Design-Year-Forecast-poi-25658-556.0,00:00:00,23:59:59,volume,3490
Opening-Year-25658-557.0,Opening-Year-Model-Run,25658-557.0,Opening-Year-Forecast-poi-25658-557.0,00:00:00,23:59:59,volume,2500
Design-Year-25658-557.0,Design-Year-Model-Run,25658-557.0,Design-Year-Forecast-poi-25658-557.0,00:00:00,23:59:59,volume,2990
Opening-Year-25658-558.0,Opening-Year-Model-Run,25658-558.0,Opening-Year-Forecast-poi-25658-558.0,00:00:00,23:59:59,volume,1290
Design-Year-25658-558.0,Design-Year-Model-Run,25658-558.0,Design-Year-Forecast-poi-25658-558.0,00:00:00,23:59:59,volume,1540
Opening-Year-25658-559.0,Opening-Year-Model-Run,25658-559.0,Opening-Year-Forecast-poi-25658-559.0,00:00:00,23:59:59,volume,3850
Design-Year-25658-559.0,Design-Year-Model-Run,25658-559.0,Design-Year-Forecast-poi-25658-559.0,00:00:00,23:59:59,volume,4300
Opening-Year-25658-602.0,Opening-Year-Model-Run,25658-602.0,Opening-Year-Forecast-poi-25658-602.0,00:00:00,23:59:59,volume,5570
Design-Year-25658-602.0,Design-Year-Model-Run,25658-602.0,Design-Year-Forecast-poi-25658-602.0,00:00:00,23:59:59,volume,6920
