poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
25658-543.0, RIC135.11,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, RIC135.11
25658-544.0, RIC135.45,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, RIC135.45
25658-551.0, RIC975.64,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC975.64
25658-552.0, RIC976.22,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC976.22
25658-553.0, RIC976.65,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC976.65
25658-554.0, RIC979.61,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC979.61
25658-555.0, RIC9713.54,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC9713.54
25658-556.0, RIC9714.81,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC9714.81
25658-557.0, RIC9715.51,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC9715.51
25658-558.0, RIC9716.53,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC9716.53
25658-559.0, RIC954.11,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, RIC954.11
25658-602.0, RIC973.6,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, RIC973.6
