poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
25663-722,", , MED8312.85",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , MED8312.85"
25663-722,", , MED8312.85",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , MED8312.85"
25663-723,", , LOR574.87",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR574.87"
25663-723,", , LOR574.87",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR574.87"
25663-724,", , LOR830",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR830"
25663-724,", , LOR830",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR830"
25663-725,", , LOR832.55",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR832.55"
25663-725,", , LOR832.55",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR832.55"
25663-761,", , LOR570",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , LOR570"
25663-761,", , LOR570",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , LOR570"
25663-762,", , LOR572.8",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , LOR572.8"
25663-762,", , LOR572.8",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , LOR572.8"
25663-763,", , LOR30318.76",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , LOR30318.76"
25663-763,", , LOR30318.76",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , LOR30318.76"
25663-813,", , LOR576.43",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR576.43"
25663-813,", , LOR576.43",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR576.43"
25663-814,", , LOR577.98",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR577.98"
25663-814,", , LOR577.98",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR577.98"
25663-815,", , LOR578.52",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR578.52"
25663-815,", , LOR578.52",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR578.52"
25663-816,", , LOR579.95",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR579.95"
25663-816,", , LOR579.95",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR579.95"
25663-817,", , LOR5711.76",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR5711.76"
25663-817,", , LOR5711.76",4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , LOR5711.76"
