forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,25677-332,Opening Year,00:00:00,24:00,volume,1340
f3,1,25677-332,Design Year,00:00:00,24:00,volume,1720
f1,1,25677-346,Opening Year,00:00:00,24:00,volume,750
f3,1,25677-346,Design Year,00:00:00,24:00,volume,760
f1,1,25677-347,Opening Year,00:00:00,24:00,volume,5660
f3,1,25677-347,Design Year,00:00:00,24:00,volume,5690
f1,1,25677-348,Opening Year,00:00:00,24:00,volume,930
f3,1,25677-348,Design Year,00:00:00,24:00,volume,1000
f1,1,25677-370,Opening Year,00:00:00,24:00,volume,7830
f3,1,25677-370,Design Year,00:00:00,24:00,volume,8020
