forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-75467-3069.0,Opening-Year-Model-Run,75467-3069.0,Opening-Year-Forecast-poi-75467-3069.0,00:00:00,23:59:59,volume,23510
Design-Year-75467-3069.0,Design-Year-Model-Run,75467-3069.0,Design-Year-Forecast-poi-75467-3069.0,00:00:00,23:59:59,volume,25080
Opening-Year-75467-3070.0,Opening-Year-Model-Run,75467-3070.0,Opening-Year-Forecast-poi-75467-3070.0,00:00:00,23:59:59,volume,25820
Design-Year-75467-3070.0,Design-Year-Model-Run,75467-3070.0,Design-Year-Forecast-poi-75467-3070.0,00:00:00,23:59:59,volume,27890
Opening-Year-75467-3071.0,Opening-Year-Model-Run,75467-3071.0,Opening-Year-Forecast-poi-75467-3071.0,00:00:00,23:59:59,volume,24750
Design-Year-75467-3071.0,Design-Year-Model-Run,75467-3071.0,Design-Year-Forecast-poi-75467-3071.0,00:00:00,23:59:59,volume,26280
Opening-Year-75467-3072.0,Opening-Year-Model-Run,75467-3072.0,Opening-Year-Forecast-poi-75467-3072.0,00:00:00,23:59:59,volume,23410
Design-Year-75467-3072.0,Design-Year-Model-Run,75467-3072.0,Design-Year-Forecast-poi-75467-3072.0,00:00:00,23:59:59,volume,26750
Opening-Year-75467-3073.0,Opening-Year-Model-Run,75467-3073.0,Opening-Year-Forecast-poi-75467-3073.0,00:00:00,23:59:59,volume,22590
Design-Year-75467-3073.0,Design-Year-Model-Run,75467-3073.0,Design-Year-Forecast-poi-75467-3073.0,00:00:00,23:59:59,volume,25930
Opening-Year-75467-3074.0,Opening-Year-Model-Run,75467-3074.0,Opening-Year-Forecast-poi-75467-3074.0,00:00:00,23:59:59,volume,20900
Design-Year-75467-3074.0,Design-Year-Model-Run,75467-3074.0,Design-Year-Forecast-poi-75467-3074.0,00:00:00,23:59:59,volume,24150
Opening-Year-75467-3075.0,Opening-Year-Model-Run,75467-3075.0,Opening-Year-Forecast-poi-75467-3075.0,00:00:00,23:59:59,volume,16810
Design-Year-75467-3075.0,Design-Year-Model-Run,75467-3075.0,Design-Year-Forecast-poi-75467-3075.0,00:00:00,23:59:59,volume,17380
Opening-Year-75467-3076.0,Opening-Year-Model-Run,75467-3076.0,Opening-Year-Forecast-poi-75467-3076.0,00:00:00,23:59:59,volume,17910
Design-Year-75467-3076.0,Design-Year-Model-Run,75467-3076.0,Design-Year-Forecast-poi-75467-3076.0,00:00:00,23:59:59,volume,18420
Opening-Year-75467-3077.0,Opening-Year-Model-Run,75467-3077.0,Opening-Year-Forecast-poi-75467-3077.0,00:00:00,23:59:59,volume,17720
Design-Year-75467-3077.0,Design-Year-Model-Run,75467-3077.0,Design-Year-Forecast-poi-75467-3077.0,00:00:00,23:59:59,volume,18230
Opening-Year-75467-3078.0,Opening-Year-Model-Run,75467-3078.0,Opening-Year-Forecast-poi-75467-3078.0,00:00:00,23:59:59,volume,17920
Design-Year-75467-3078.0,Design-Year-Model-Run,75467-3078.0,Design-Year-Forecast-poi-75467-3078.0,00:00:00,23:59:59,volume,18550
Opening-Year-75467-3079.0,Opening-Year-Model-Run,75467-3079.0,Opening-Year-Forecast-poi-75467-3079.0,00:00:00,23:59:59,volume,28080
Design-Year-75467-3079.0,Design-Year-Model-Run,75467-3079.0,Design-Year-Forecast-poi-75467-3079.0,00:00:00,23:59:59,volume,29590
Opening-Year-75467-3080.0,Opening-Year-Model-Run,75467-3080.0,Opening-Year-Forecast-poi-75467-3080.0,00:00:00,23:59:59,volume,28250
Design-Year-75467-3080.0,Design-Year-Model-Run,75467-3080.0,Design-Year-Forecast-poi-75467-3080.0,00:00:00,23:59:59,volume,32260
Opening-Year-75467-3081.0,Opening-Year-Model-Run,75467-3081.0,Opening-Year-Forecast-poi-75467-3081.0,00:00:00,23:59:59,volume,32230
Design-Year-75467-3081.0,Design-Year-Model-Run,75467-3081.0,Design-Year-Forecast-poi-75467-3081.0,00:00:00,23:59:59,volume,35530
