obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
75890-1840-1,75890-1840,Opening Year,unknown,unknown,,00:00,24:00,volume,7700
75890-1840-1,75890-1840,Design Year,unknown,unknown,,00:00,24:00,volume,12320
75890-1841-1,75890-1841,Opening Year,unknown,unknown,,00:00,24:00,volume,9330
75890-1841-1,75890-1841,Design Year,unknown,unknown,,00:00,24:00,volume,10590
75890-1857-1,75890-1857,Opening Year,unknown,unknown,,00:00,24:00,volume,16500
75890-1857-1,75890-1857,Design Year,unknown,unknown,,00:00,24:00,volume,24790
75890-1862-1,75890-1862,Opening Year,unknown,unknown,,00:00,24:00,volume,6320
75890-1862-1,75890-1862,Design Year,unknown,unknown,,00:00,24:00,volume,5970
75890-1863-1,75890-1863,Opening Year,unknown,unknown,,00:00,24:00,volume,10630
75890-1863-1,75890-1863,Design Year,unknown,unknown,,00:00,24:00,volume,9750
75890-1864-1,75890-1864,Opening Year,unknown,unknown,,00:00,24:00,volume,16500
75890-1864-1,75890-1864,Design Year,unknown,unknown,,00:00,24:00,volume,17710
75890-1865-1,75890-1865,Opening Year,unknown,unknown,,00:00,24:00,volume,9640
75890-1865-1,75890-1865,Design Year,unknown,unknown,,00:00,24:00,volume,10190
75890-1866-1,75890-1866,Opening Year,unknown,unknown,,00:00,24:00,volume,12710
75890-1866-1,75890-1866,Design Year,unknown,unknown,,00:00,24:00,volume,13520
75890-1992-1,75890-1992,Opening Year,unknown,unknown,,00:00,24:00,volume,9950
75890-1992-1,75890-1992,Design Year,unknown,unknown,,00:00,24:00,volume,12050
