forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,76174-2373,Opening Year,00:00:00,23:59:59,volume,95520
f3,1,76174-2373,Design Year,00:00:00,23:59:59,volume,101700
f1,1,76174-2374,Opening Year,00:00:00,23:59:59,volume,75170
f3,1,76174-2374,Design Year,00:00:00,23:59:59,volume,83650
f1,1,76174-2473,Opening Year,00:00:00,23:59:59,volume,84140
f3,1,76174-2473,Design Year,00:00:00,23:59:59,volume,102070
f1,1,76174-2474,Opening Year,00:00:00,23:59:59,volume,92520
f3,1,76174-2474,Design Year,00:00:00,23:59:59,volume,101700
f1,1,76174-2475,Opening Year,00:00:00,23:59:59,volume,92520
f3,1,76174-2475,Design Year,00:00:00,23:59:59,volume,101700
f1,1,76174-2476,Opening Year,00:00:00,23:59:59,volume,75170
f3,1,76174-2476,Design Year,00:00:00,23:59:59,volume,83650
f1,1,76174-2477,Opening Year,00:00:00,23:59:59,volume,75170
f3,1,76174-2477,Design Year,00:00:00,23:59:59,volume,83650
f1,1,76174-2478,Opening Year,00:00:00,23:59:59,volume,105090
f3,1,76174-2478,Design Year,00:00:00,23:59:59,volume,117540
f1,1,76174-2479,Opening Year,00:00:00,23:59:59,volume,103960
f3,1,76174-2479,Design Year,00:00:00,23:59:59,volume,125110
f1,1,76174-2480,Opening Year,00:00:00,23:59:59,volume,103960
f3,1,76174-2480,Design Year,00:00:00,23:59:59,volume,125110
f1,1,76174-2481,Opening Year,00:00:00,23:59:59,volume,106470
f3,1,76174-2481,Design Year,00:00:00,23:59:59,volume,127800
