forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-76266-3218.0,Opening-Year-Model-Run,76266-3218.0,Opening-Year-Forecast-poi-76266-3218.0,00:00:00,23:59:59,volume,5030
Design-Year-76266-3218.0,Design-Year-Model-Run,76266-3218.0,Design-Year-Forecast-poi-76266-3218.0,00:00:00,23:59:59,volume,5690
Opening-Year-76266-3351.0,Opening-Year-Model-Run,76266-3351.0,Opening-Year-Forecast-poi-76266-3351.0,00:00:00,23:59:59,volume,10030
Design-Year-76266-3351.0,Design-Year-Model-Run,76266-3351.0,Design-Year-Forecast-poi-76266-3351.0,00:00:00,23:59:59,volume,12340
Opening-Year-76266-3352.0,Opening-Year-Model-Run,76266-3352.0,Opening-Year-Forecast-poi-76266-3352.0,00:00:00,23:59:59,volume,5890
Design-Year-76266-3352.0,Design-Year-Model-Run,76266-3352.0,Design-Year-Forecast-poi-76266-3352.0,00:00:00,23:59:59,volume,7780
Opening-Year-76266-3398.0,Opening-Year-Model-Run,76266-3398.0,Opening-Year-Forecast-poi-76266-3398.0,00:00:00,23:59:59,volume,13130
Design-Year-76266-3398.0,Design-Year-Model-Run,76266-3398.0,Design-Year-Forecast-poi-76266-3398.0,00:00:00,23:59:59,volume,16960
Opening-Year-76266-3399.0,Opening-Year-Model-Run,76266-3399.0,Opening-Year-Forecast-poi-76266-3399.0,00:00:00,23:59:59,volume,13540
Design-Year-76266-3399.0,Design-Year-Model-Run,76266-3399.0,Design-Year-Forecast-poi-76266-3399.0,00:00:00,23:59:59,volume,17420
