obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
76374-623-1,76374-623,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,7630
76374-623-1,76374-623,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,6890
76374-624-1,76374-624,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,11960
76374-624-1,76374-624,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,11920
76374-625-1,76374-625,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,6710
76374-625-1,76374-625,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,6950
76374-626-1,76374-626,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,3330
76374-626-1,76374-626,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,3100
76374-627-1,76374-627,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,6100
76374-627-1,76374-627,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,6400
76374-628-1,76374-628,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,6240
76374-628-1,76374-628,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,7300
76374-629-1,76374-629,Opening Year,unknown,unknown,2006,00:00:00,24:00:00,volume,5880
76374-629-1,76374-629,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,6720
