poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
76691-3051.0, AUG758.63,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, AUG758.63
76691-3052.0, ALL7511.82,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL7511.82
76691-3053.0, ALL750,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL750
76691-3054.0, ALL752.12,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL752.12
76691-3055.0, ALL754.22,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL754.22
76691-3056.0, ALL756.1,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL756.1
76691-3057.0, ALL757.03,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL757.03
76691-3058.0, ALL758.74,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, ALL758.74
76691-3059.0, ALL653.83,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ALL653.83
76691-3060.0, ALL11718.33,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ALL11718.33
76691-3061.0, ALL11718.5,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ALL11718.5
76691-3062.0, ALL30915.18,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ALL30915.18
76691-3063.0, ALL8118.17,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ALL8118.17
76691-3064.0, ALL653.06,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, ALL653.06
76691-3065.0, ALL8118.87,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, ALL8118.87
