forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-76938-4007.0,Opening-Year-Model-Run,76938-4007.0,Opening-Year-Forecast-poi-76938-4007.0,00:00:00,23:59:59,volume,43850
Design-Year-76938-4007.0,Design-Year-Model-Run,76938-4007.0,Design-Year-Forecast-poi-76938-4007.0,00:00:00,23:59:59,volume,56840
Opening-Year-76938-4008.0,Opening-Year-Model-Run,76938-4008.0,Opening-Year-Forecast-poi-76938-4008.0,00:00:00,23:59:59,volume,41480
Design-Year-76938-4008.0,Design-Year-Model-Run,76938-4008.0,Design-Year-Forecast-poi-76938-4008.0,00:00:00,23:59:59,volume,53070
Opening-Year-76938-4009.0,Opening-Year-Model-Run,76938-4009.0,Opening-Year-Forecast-poi-76938-4009.0,00:00:00,23:59:59,volume,17980
Design-Year-76938-4009.0,Design-Year-Model-Run,76938-4009.0,Design-Year-Forecast-poi-76938-4009.0,00:00:00,23:59:59,volume,24780
Opening-Year-76938-4010.0,Opening-Year-Model-Run,76938-4010.0,Opening-Year-Forecast-poi-76938-4010.0,00:00:00,23:59:59,volume,43690
Design-Year-76938-4010.0,Design-Year-Model-Run,76938-4010.0,Design-Year-Forecast-poi-76938-4010.0,00:00:00,23:59:59,volume,55180
Opening-Year-76938-4011.0,Opening-Year-Model-Run,76938-4011.0,Opening-Year-Forecast-poi-76938-4011.0,00:00:00,23:59:59,volume,41720
Design-Year-76938-4011.0,Design-Year-Model-Run,76938-4011.0,Design-Year-Forecast-poi-76938-4011.0,00:00:00,23:59:59,volume,51510
