poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
76997-5909.0, FAI00070.000,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FAI00070.000
76997-5910.0, FRA0007016.520,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007016.520
76997-5911.0, FRA0007017.000,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007017.000
76997-5912.0, FRA0007017.190,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007017.190
76997-5913.0, FRA0007018.670,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007018.670
76997-5914.0, FRA0007019.310,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007019.310
76997-5915.0, FRA0007021.330,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007021.330
76997-5916.0, FRA0007022.730,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0007022.730
76997-5917.0, FRA0031712.420,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0031712.420
76997-5918.0, FRA0027039.530,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0027039.530
76997-5919.0, FRA0027041.320,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0027041.320
76997-5920.0, FRA0027042.820,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, FRA0027042.820
76997-5934.0, FRA0003320.270,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0003320.270
76997-5935.0, FRA0003321.910,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0003321.910
76997-5936.0, FRA0003322.400,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0003322.400
76997-5937.0, FRA0003322.980,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0003322.980
76997-5943.0, FRA0003324.750,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0003324.750
76997-5944.0, FRA0031711.090,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0031711.090
76997-5945.0, FRA0031712.000,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0031712.000
76997-5946.0, FRA0027046.130,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0027046.130
76997-5947.0, FRA0004021.400,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, FRA0004021.400
76997-5948.0, LIC00310.000,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, LIC00310.000
76997-5951.0, FAI000701.460,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, FAI000701.460
76997-5952.0, FAI00204.010,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, FAI00204.010
76997-5953.0, FAI00256.010,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, FAI00256.010
76997-5954.0, FAI00256.460,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, FAI00256.460
76997-5955.0, FAI00256.770,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, FAI00256.770
76997-5956.0, FRA0004021.800,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, FRA0004021.800
76997-5957.0, LIC00310.960,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, LIC00310.960
