obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
77037-686-1,77037-686,Opening Year,unknown,unknown,,00:00,24:00,volume,28040
77037-686-1,77037-686,Design Year,unknown,unknown,,00:00,24:00,volume,25090
77037-687-1,77037-687,Opening Year,unknown,unknown,,00:00,24:00,volume,27820
77037-687-1,77037-687,Design Year,unknown,unknown,,00:00,24:00,volume,25530
77037-688-1,77037-688,Opening Year,unknown,unknown,,00:00,24:00,volume,38470
77037-688-1,77037-688,Design Year,unknown,unknown,,00:00,24:00,volume,37920
77037-784-1,77037-784,Opening Year,unknown,unknown,,00:00,24:00,volume,44380
77037-784-1,77037-784,Design Year,unknown,unknown,,00:00,24:00,volume,44060
77037-785-1,77037-785,Opening Year,unknown,unknown,,00:00,24:00,volume,48280
77037-785-1,77037-785,Design Year,unknown,unknown,,00:00,24:00,volume,48950
