forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,77055-719,Opening Year,00:00,24:00,volume,3710
f3,1,77055-719,Design Year,00:00,24:00,volume,5700
f1,1,77055-720,Opening Year,00:00,24:00,volume,2830
f3,1,77055-720,Design Year,00:00,24:00,volume,3050
f1,1,77055-727,Opening Year,00:00,24:00,volume,3940
f3,1,77055-727,Design Year,00:00,24:00,volume,4950
f1,1,77055-728,Opening Year,00:00,24:00,volume,5320
f3,1,77055-728,Design Year,00:00,24:00,volume,8300
f1,1,77055-729,Opening Year,00:00,24:00,volume,3730
f3,1,77055-729,Design Year,00:00,24:00,volume,4530
f1,1,77055-730,Opening Year,00:00,24:00,volume,3410
f3,1,77055-730,Design Year,00:00,24:00,volume,4210
