obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
77242-630-1,77242-630,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,85300
77242-631-1,77242-631,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,79960
77242-632-1,77242-632,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,72550
77242-633-1,77242-633,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,79310
77242-634-1,77242-634,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,97350
77242-635-1,77242-635,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,102780
77242-636-1,77242-636,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,100760
77242-637-1,77242-637,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,105040
77242-644-1,77242-644,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,34140
77242-645-1,77242-645,Opening Year,unknown,unknown,2007,00:00:00,23:59:59,volume,20600
