poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
77242-630.0, LUC750.15,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC750.15
77242-631.0, LUC750.91,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC750.91
77242-632.0, LUC751.67,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC751.67
77242-633.0, LUC751.99,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC751.99
77242-634.0, LUC752.34,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC752.34
77242-635.0, LUC753.49,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC753.49
77242-636.0, LUC753.64,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC753.64
77242-637.0, LUC753.99,1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT, LUC753.99
77242-644.0, LUC258.29,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, LUC258.29
77242-645.0, LUC258.47,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, LUC258.47
