obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
77801-3890-1,77801-3890,Opening Year,unknown,unknown,,00:00,24:00,volume,49003
77801-3890-1,77801-3890,Design Year,unknown,unknown,,00:00,24:00,volume,45880
77801-3891-1,77801-3891,Opening Year,unknown,unknown,,00:00,24:00,volume,48421
77801-3891-1,77801-3891,Design Year,unknown,unknown,,00:00,24:00,volume,45630
77801-3892-1,77801-3892,Opening Year,unknown,unknown,,00:00,24:00,volume,47903
77801-3892-1,77801-3892,Design Year,unknown,unknown,,00:00,24:00,volume,44930
77801-3893-1,77801-3893,Opening Year,unknown,unknown,,00:00,24:00,volume,48870
77801-3893-1,77801-3893,Design Year,unknown,unknown,,00:00,24:00,volume,48840
77801-3894-1,77801-3894,Opening Year,unknown,unknown,,00:00,24:00,volume,51660
77801-3894-1,77801-3894,Design Year,unknown,unknown,,00:00,24:00,volume,52430
77801-3895-1,77801-3895,Opening Year,unknown,unknown,,00:00,24:00,volume,49029
77801-3895-1,77801-3895,Design Year,unknown,unknown,,00:00,24:00,volume,47810
77801-3896-1,77801-3896,Opening Year,unknown,unknown,,00:00,24:00,volume,49003
77801-3896-1,77801-3896,Design Year,unknown,unknown,,00:00,24:00,volume,47220
77801-3932-1,77801-3932,Opening Year,unknown,unknown,,00:00,24:00,volume,46279
77801-3932-1,77801-3932,Design Year,unknown,unknown,,00:00,24:00,volume,44980
77801-3933-1,77801-3933,Opening Year,unknown,unknown,,00:00,24:00,volume,49029
77801-3933-1,77801-3933,Design Year,unknown,unknown,,00:00,24:00,volume,47190
