forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-78233-1811.0,Opening-Year-Model-Run,78233-1811.0,Opening-Year-Forecast-poi-78233-1811.0,00:00:00,23:59:59,volume,50800
Design-Year-78233-1811.0,Design-Year-Model-Run,78233-1811.0,Design-Year-Forecast-poi-78233-1811.0,00:00:00,23:59:59,volume,65760
Opening-Year-78233-1812.0,Opening-Year-Model-Run,78233-1812.0,Opening-Year-Forecast-poi-78233-1812.0,00:00:00,23:59:59,volume,65190
Design-Year-78233-1812.0,Design-Year-Model-Run,78233-1812.0,Design-Year-Forecast-poi-78233-1812.0,00:00:00,23:59:59,volume,84190
Opening-Year-78233-1816.0,Opening-Year-Model-Run,78233-1816.0,Opening-Year-Forecast-poi-78233-1816.0,00:00:00,23:59:59,volume,11280
Design-Year-78233-1816.0,Design-Year-Model-Run,78233-1816.0,Design-Year-Forecast-poi-78233-1816.0,00:00:00,23:59:59,volume,14040
Opening-Year-78233-1819.0,Opening-Year-Model-Run,78233-1819.0,Opening-Year-Forecast-poi-78233-1819.0,00:00:00,23:59:59,volume,30610
Design-Year-78233-1819.0,Design-Year-Model-Run,78233-1819.0,Design-Year-Forecast-poi-78233-1819.0,00:00:00,23:59:59,volume,34220
Opening-Year-78233-1820.0,Opening-Year-Model-Run,78233-1820.0,Opening-Year-Forecast-poi-78233-1820.0,00:00:00,23:59:59,volume,31580
Design-Year-78233-1820.0,Design-Year-Model-Run,78233-1820.0,Design-Year-Forecast-poi-78233-1820.0,00:00:00,23:59:59,volume,35110
Opening-Year-78233-1821.0,Opening-Year-Model-Run,78233-1821.0,Opening-Year-Forecast-poi-78233-1821.0,00:00:00,23:59:59,volume,33540
Design-Year-78233-1821.0,Design-Year-Model-Run,78233-1821.0,Design-Year-Forecast-poi-78233-1821.0,00:00:00,23:59:59,volume,37120
Opening-Year-78233-1822.0,Opening-Year-Model-Run,78233-1822.0,Opening-Year-Forecast-poi-78233-1822.0,00:00:00,23:59:59,volume,30760
Design-Year-78233-1822.0,Design-Year-Model-Run,78233-1822.0,Design-Year-Forecast-poi-78233-1822.0,00:00:00,23:59:59,volume,34340
Opening-Year-78233-1823.0,Opening-Year-Model-Run,78233-1823.0,Opening-Year-Forecast-poi-78233-1823.0,00:00:00,23:59:59,volume,33850
Design-Year-78233-1823.0,Design-Year-Model-Run,78233-1823.0,Design-Year-Forecast-poi-78233-1823.0,00:00:00,23:59:59,volume,37460
Opening-Year-78233-1824.0,Opening-Year-Model-Run,78233-1824.0,Opening-Year-Forecast-poi-78233-1824.0,00:00:00,23:59:59,volume,33880
Design-Year-78233-1824.0,Design-Year-Model-Run,78233-1824.0,Design-Year-Forecast-poi-78233-1824.0,00:00:00,23:59:59,volume,37490
Opening-Year-78233-1825.0,Opening-Year-Model-Run,78233-1825.0,Opening-Year-Forecast-poi-78233-1825.0,00:00:00,23:59:59,volume,33980
Design-Year-78233-1825.0,Design-Year-Model-Run,78233-1825.0,Design-Year-Forecast-poi-78233-1825.0,00:00:00,23:59:59,volume,37590
Opening-Year-78233-1826.0,Opening-Year-Model-Run,78233-1826.0,Opening-Year-Forecast-poi-78233-1826.0,00:00:00,23:59:59,volume,31270
Design-Year-78233-1826.0,Design-Year-Model-Run,78233-1826.0,Design-Year-Forecast-poi-78233-1826.0,00:00:00,23:59:59,volume,34880
Opening-Year-78233-1827.0,Opening-Year-Model-Run,78233-1827.0,Opening-Year-Forecast-poi-78233-1827.0,00:00:00,23:59:59,volume,36930
Design-Year-78233-1827.0,Design-Year-Model-Run,78233-1827.0,Design-Year-Forecast-poi-78233-1827.0,00:00:00,23:59:59,volume,40810
Opening-Year-78233-1828.0,Opening-Year-Model-Run,78233-1828.0,Opening-Year-Forecast-poi-78233-1828.0,00:00:00,23:59:59,volume,39480
Design-Year-78233-1828.0,Design-Year-Model-Run,78233-1828.0,Design-Year-Forecast-poi-78233-1828.0,00:00:00,23:59:59,volume,43360
Opening-Year-78233-1829.0,Opening-Year-Model-Run,78233-1829.0,Opening-Year-Forecast-poi-78233-1829.0,00:00:00,23:59:59,volume,37190
Design-Year-78233-1829.0,Design-Year-Model-Run,78233-1829.0,Design-Year-Forecast-poi-78233-1829.0,00:00:00,23:59:59,volume,40820
Opening-Year-78233-1830.0,Opening-Year-Model-Run,78233-1830.0,Opening-Year-Forecast-poi-78233-1830.0,00:00:00,23:59:59,volume,39030
Design-Year-78233-1830.0,Design-Year-Model-Run,78233-1830.0,Design-Year-Forecast-poi-78233-1830.0,00:00:00,23:59:59,volume,42110
Opening-Year-78233-1831.0,Opening-Year-Model-Run,78233-1831.0,Opening-Year-Forecast-poi-78233-1831.0,00:00:00,23:59:59,volume,21260
Design-Year-78233-1831.0,Design-Year-Model-Run,78233-1831.0,Design-Year-Forecast-poi-78233-1831.0,00:00:00,23:59:59,volume,22940
Opening-Year-78233-1832.0,Opening-Year-Model-Run,78233-1832.0,Opening-Year-Forecast-poi-78233-1832.0,00:00:00,23:59:59,volume,16160
Design-Year-78233-1832.0,Design-Year-Model-Run,78233-1832.0,Design-Year-Forecast-poi-78233-1832.0,00:00:00,23:59:59,volume,17840
Opening-Year-78233-1833.0,Opening-Year-Model-Run,78233-1833.0,Opening-Year-Forecast-poi-78233-1833.0,00:00:00,23:59:59,volume,14920
Design-Year-78233-1833.0,Design-Year-Model-Run,78233-1833.0,Design-Year-Forecast-poi-78233-1833.0,00:00:00,23:59:59,volume,16360
