poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
78295-1456,", , MOT751.98",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , MOT751.98"
78295-1457,", , MOT753.74",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , MOT753.74"
78295-1458,", , MOT756.39",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , MOT756.39"
78295-1496,", , MOT72513.99",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT72513.99"
78295-1497,", , MOT72513.99",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT72513.99"
78295-1498,", , MOT72513.99",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT72513.99"
78295-1499,", , MOT72514.6",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT72514.6"
78295-1500,", , MOT72514.6",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT72514.6"
78295-1501,", , MOT72515",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT72515"
78295-1502,", , MOT7412.93",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7412.93"
78295-1503,", , MOT7413.61",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7413.61"
