obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
78425-2667-1,78425-2667,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-2667-1,78425-2667,Design Year,unknown,unknown,,00:00,24:00,volume,44520
78425-2669-1,78425-2669,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-2669-1,78425-2669,Design Year,unknown,unknown,,00:00,24:00,volume,44520
78425-2670-1,78425-2670,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-2670-1,78425-2670,Design Year,unknown,unknown,,00:00,24:00,volume,44520
78425-2675-1,78425-2675,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-2675-1,78425-2675,Design Year,unknown,unknown,,00:00,24:00,volume,44390
78425-2676-1,78425-2676,Opening Year,unknown,unknown,,00:00,24:00,volume,42780
78425-2676-1,78425-2676,Design Year,unknown,unknown,,00:00,24:00,volume,42410
78425-2677-1,78425-2677,Opening Year,unknown,unknown,,00:00,24:00,volume,43750
78425-2677-1,78425-2677,Design Year,unknown,unknown,,00:00,24:00,volume,42950
78425-2685-1,78425-2685,Opening Year,unknown,unknown,,00:00,24:00,volume,42780
78425-2685-1,78425-2685,Design Year,unknown,unknown,,00:00,24:00,volume,42410
78425-2686-1,78425-2686,Opening Year,unknown,unknown,,00:00,24:00,volume,43750
78425-2686-1,78425-2686,Design Year,unknown,unknown,,00:00,24:00,volume,42950
78425-3901-1,78425-3901,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-3901-1,78425-3901,Design Year,unknown,unknown,,00:00,24:00,volume,47291
78425-3957-1,78425-3957,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-3957-1,78425-3957,Design Year,unknown,unknown,,00:00,24:00,volume,47291
78425-3958-1,78425-3958,Opening Year,unknown,unknown,,00:00,24:00,volume,47291
78425-3958-1,78425-3958,Design Year,unknown,unknown,,00:00,24:00,volume,47291
78425-3959-1,78425-3959,Opening Year,unknown,unknown,,00:00,24:00,volume,46838
78425-3959-1,78425-3959,Design Year,unknown,unknown,,00:00,24:00,volume,46838
78425-3960-1,78425-3960,Opening Year,unknown,unknown,,00:00,24:00,volume,45756
78425-3960-1,78425-3960,Design Year,unknown,unknown,,00:00,24:00,volume,45756
