obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
79078-240-1,79078-240,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,148550
79078-241-1,79078-241,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,157580
79078-242-1,79078-242,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,147110
79078-243-1,79078-243,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,120810
79078-244-1,79078-244,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,129960
79078-245-1,79078-245,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,141760
79078-246-1,79078-246,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,137280
79078-247-1,79078-247,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,129690
79078-248-1,79078-248,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,120820
79078-249-1,79078-249,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,104230
79078-255-1,79078-255,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,50240
79078-256-1,79078-256,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,32110
79078-257-1,79078-257,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,19220
79078-258-1,79078-258,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,26110
79078-259-1,79078-259,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,26110
79078-260-1,79078-260,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,26110
79078-261-1,79078-261,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,30540
79078-262-1,79078-262,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,30540
79078-263-1,79078-263,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,21100
79078-264-1,79078-264,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,12710
79078-265-1,79078-265,Opening Year,unknown,unknown,2005,00:00:00,23:59:59,volume,25390
