forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,79258-1387,Opening Year,00:00,24:00,volume,15780
f3,1,79258-1387,Design Year,00:00,24:00,volume,16200
f1,1,79258-1388,Opening Year,00:00,24:00,volume,16110
f3,1,79258-1388,Design Year,00:00,24:00,volume,16600
f1,1,79258-1389,Opening Year,00:00,24:00,volume,16110
f3,1,79258-1389,Design Year,00:00,24:00,volume,16600
f1,1,79258-1390,Opening Year,00:00,24:00,volume,11890
f3,1,79258-1390,Design Year,00:00,24:00,volume,12110
f1,1,79258-1391,Opening Year,00:00,24:00,volume,9940
f3,1,79258-1391,Design Year,00:00,24:00,volume,10500
f1,1,79258-1392,Opening Year,00:00,24:00,volume,8340
f3,1,79258-1392,Design Year,00:00,24:00,volume,9110
f1,1,79258-1393,Opening Year,00:00,24:00,volume,7790
f3,1,79258-1393,Design Year,00:00,24:00,volume,8630
f1,1,79258-1394,Opening Year,00:00,24:00,volume,4070
f3,1,79258-1394,Design Year,00:00,24:00,volume,5040
