poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
79352-1701,", , RIC3017.2",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , RIC3017.2"
79352-1701,", , RIC3017.2",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , RIC3017.2"
79352-1702,", , RIC3017.54",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , RIC3017.54"
79352-1702,", , RIC3017.54",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , RIC3017.54"
79352-1703,", , RIC4213.13",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , RIC4213.13"
79352-1703,", , RIC4213.13",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , RIC4213.13"
79352-1706,", , ASD3013.22",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , ASD3013.22"
79352-1706,", , ASD3013.22",3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , ASD3013.22"
79352-1767,", , RIC3012.86",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3012.86"
79352-1767,", , RIC3012.86",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3012.86"
79352-1768,", , RIC3014.1",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3014.1"
79352-1768,", , RIC3014.1",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3014.1"
79352-1769,", , RIC3015.3",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3015.3"
79352-1769,", , RIC3015.3",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3015.3"
79352-1770,", , RIC3016.43",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3016.43"
79352-1770,", , RIC3016.43",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , RIC3016.43"
