forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-79352-1701.0,Opening-Year-Model-Run,79352-1701.0,Opening-Year-Forecast-poi-79352-1701.0,00:00:00,23:59:59,volume,17540
Design-Year-79352-1701.0,Design-Year-Model-Run,79352-1701.0,Design-Year-Forecast-poi-79352-1701.0,00:00:00,23:59:59,volume,20890
Opening-Year-79352-1702.0,Opening-Year-Model-Run,79352-1702.0,Opening-Year-Forecast-poi-79352-1702.0,00:00:00,23:59:59,volume,17400
Design-Year-79352-1702.0,Design-Year-Model-Run,79352-1702.0,Design-Year-Forecast-poi-79352-1702.0,00:00:00,23:59:59,volume,21500
Opening-Year-79352-1703.0,Opening-Year-Model-Run,79352-1703.0,Opening-Year-Forecast-poi-79352-1703.0,00:00:00,23:59:59,volume,19680
Design-Year-79352-1703.0,Design-Year-Model-Run,79352-1703.0,Design-Year-Forecast-poi-79352-1703.0,00:00:00,23:59:59,volume,22210
Opening-Year-79352-1706.0,Opening-Year-Model-Run,79352-1706.0,Opening-Year-Forecast-poi-79352-1706.0,00:00:00,23:59:59,volume,17400
Design-Year-79352-1706.0,Design-Year-Model-Run,79352-1706.0,Design-Year-Forecast-poi-79352-1706.0,00:00:00,23:59:59,volume,21500
Opening-Year-79352-1767.0,Opening-Year-Model-Run,79352-1767.0,Opening-Year-Forecast-poi-79352-1767.0,00:00:00,23:59:59,volume,34060
Design-Year-79352-1767.0,Design-Year-Model-Run,79352-1767.0,Design-Year-Forecast-poi-79352-1767.0,00:00:00,23:59:59,volume,39810
Opening-Year-79352-1768.0,Opening-Year-Model-Run,79352-1768.0,Opening-Year-Forecast-poi-79352-1768.0,00:00:00,23:59:59,volume,22210
Design-Year-79352-1768.0,Design-Year-Model-Run,79352-1768.0,Design-Year-Forecast-poi-79352-1768.0,00:00:00,23:59:59,volume,25310
Opening-Year-79352-1769.0,Opening-Year-Model-Run,79352-1769.0,Opening-Year-Forecast-poi-79352-1769.0,00:00:00,23:59:59,volume,20970
Design-Year-79352-1769.0,Design-Year-Model-Run,79352-1769.0,Design-Year-Forecast-poi-79352-1769.0,00:00:00,23:59:59,volume,24490
Opening-Year-79352-1770.0,Opening-Year-Model-Run,79352-1770.0,Opening-Year-Forecast-poi-79352-1770.0,00:00:00,23:59:59,volume,19650
Design-Year-79352-1770.0,Design-Year-Model-Run,79352-1770.0,Design-Year-Forecast-poi-79352-1770.0,00:00:00,23:59:59,volume,23500
