obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
79425-791-1,79425-791,Opening Year,unknown,unknown,,00:00,24:00,volume,8890
79425-791-1,79425-791,Design Year,unknown,unknown,,00:00,24:00,volume,8890
79425-792-1,79425-792,Opening Year,unknown,unknown,,00:00,24:00,volume,8890
79425-792-1,79425-792,Design Year,unknown,unknown,,00:00,24:00,volume,8890
79425-793-1,79425-793,Opening Year,unknown,unknown,,00:00,24:00,volume,8160
79425-793-1,79425-793,Design Year,unknown,unknown,,00:00,24:00,volume,8160
79425-805-1,79425-805,Opening Year,unknown,unknown,,00:00,24:00,volume,5110
79425-805-1,79425-805,Design Year,unknown,unknown,,00:00,24:00,volume,5110
79425-806-1,79425-806,Opening Year,unknown,unknown,,00:00,24:00,volume,5110
79425-806-1,79425-806,Design Year,unknown,unknown,,00:00,24:00,volume,5110
79425-807-1,79425-807,Opening Year,unknown,unknown,,00:00,24:00,volume,5110
79425-807-1,79425-807,Design Year,unknown,unknown,,00:00,24:00,volume,5110
