poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
79449-971.0, CRA192.02,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA192.02
79449-972.0, CRA610.58,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA610.58
79449-973.0, CRA611.32,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA611.32
79449-974.0, CRA612.87,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA612.87
79449-975.0, CRA613.99,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA613.99
79449-976.0, CRA614.98,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA614.98
79449-977.0, CRA5980,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA5980
79449-978.0, CRA5980.73,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, CRA5980.73
79449-983.0, CRA191.18,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, CRA191.18
79449-984.0, CRA191.49,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, CRA191.49
79449-985.0, CRA193.46,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, CRA193.46
79449-991.0, CRA970.7,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, CRA970.7
