forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-79455-2141.0,Opening-Year-Model-Run,79455-2141.0,Opening-Year-Forecast-poi-79455-2141.0,00:00:00,23:59:59,volume,6250
Design-Year-79455-2141.0,Design-Year-Model-Run,79455-2141.0,Design-Year-Forecast-poi-79455-2141.0,00:00:00,23:59:59,volume,6960
Opening-Year-79455-2142.0,Opening-Year-Model-Run,79455-2142.0,Opening-Year-Forecast-poi-79455-2142.0,00:00:00,23:59:59,volume,9650
Design-Year-79455-2142.0,Design-Year-Model-Run,79455-2142.0,Design-Year-Forecast-poi-79455-2142.0,00:00:00,23:59:59,volume,10020
Opening-Year-79455-2143.0,Opening-Year-Model-Run,79455-2143.0,Opening-Year-Forecast-poi-79455-2143.0,00:00:00,23:59:59,volume,11890
Design-Year-79455-2143.0,Design-Year-Model-Run,79455-2143.0,Design-Year-Forecast-poi-79455-2143.0,00:00:00,23:59:59,volume,12770
Opening-Year-79455-2144.0,Opening-Year-Model-Run,79455-2144.0,Opening-Year-Forecast-poi-79455-2144.0,00:00:00,23:59:59,volume,11480
Design-Year-79455-2144.0,Design-Year-Model-Run,79455-2144.0,Design-Year-Forecast-poi-79455-2144.0,00:00:00,23:59:59,volume,12450
Opening-Year-79455-2145.0,Opening-Year-Model-Run,79455-2145.0,Opening-Year-Forecast-poi-79455-2145.0,00:00:00,23:59:59,volume,5470
Design-Year-79455-2145.0,Design-Year-Model-Run,79455-2145.0,Design-Year-Forecast-poi-79455-2145.0,00:00:00,23:59:59,volume,5720
Opening-Year-79455-2146.0,Opening-Year-Model-Run,79455-2146.0,Opening-Year-Forecast-poi-79455-2146.0,00:00:00,23:59:59,volume,5130
Design-Year-79455-2146.0,Design-Year-Model-Run,79455-2146.0,Design-Year-Forecast-poi-79455-2146.0,00:00:00,23:59:59,volume,5490
