forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-79601-1283.0,Opening-Year-Model-Run,79601-1283.0,Opening-Year-Forecast-poi-79601-1283.0,00:00:00,23:59:59,volume,26420
Design-Year-79601-1283.0,Design-Year-Model-Run,79601-1283.0,Design-Year-Forecast-poi-79601-1283.0,00:00:00,23:59:59,volume,26430
Opening-Year-79601-1284.0,Opening-Year-Model-Run,79601-1284.0,Opening-Year-Forecast-poi-79601-1284.0,00:00:00,23:59:59,volume,27420
Design-Year-79601-1284.0,Design-Year-Model-Run,79601-1284.0,Design-Year-Forecast-poi-79601-1284.0,00:00:00,23:59:59,volume,27420
Opening-Year-79601-1285.0,Opening-Year-Model-Run,79601-1285.0,Opening-Year-Forecast-poi-79601-1285.0,00:00:00,23:59:59,volume,31500
Design-Year-79601-1285.0,Design-Year-Model-Run,79601-1285.0,Design-Year-Forecast-poi-79601-1285.0,00:00:00,23:59:59,volume,33320
Opening-Year-79601-1286.0,Opening-Year-Model-Run,79601-1286.0,Opening-Year-Forecast-poi-79601-1286.0,00:00:00,23:59:59,volume,35080
Design-Year-79601-1286.0,Design-Year-Model-Run,79601-1286.0,Design-Year-Forecast-poi-79601-1286.0,00:00:00,23:59:59,volume,37520
Opening-Year-79601-1287.0,Opening-Year-Model-Run,79601-1287.0,Opening-Year-Forecast-poi-79601-1287.0,00:00:00,23:59:59,volume,35200
Design-Year-79601-1287.0,Design-Year-Model-Run,79601-1287.0,Design-Year-Forecast-poi-79601-1287.0,00:00:00,23:59:59,volume,37640
Opening-Year-79601-1288.0,Opening-Year-Model-Run,79601-1288.0,Opening-Year-Forecast-poi-79601-1288.0,00:00:00,23:59:59,volume,31820
Design-Year-79601-1288.0,Design-Year-Model-Run,79601-1288.0,Design-Year-Forecast-poi-79601-1288.0,00:00:00,23:59:59,volume,37760
Opening-Year-79601-1289.0,Opening-Year-Model-Run,79601-1289.0,Opening-Year-Forecast-poi-79601-1289.0,00:00:00,23:59:59,volume,22460
Design-Year-79601-1289.0,Design-Year-Model-Run,79601-1289.0,Design-Year-Forecast-poi-79601-1289.0,00:00:00,23:59:59,volume,28060
Opening-Year-79601-1290.0,Opening-Year-Model-Run,79601-1290.0,Opening-Year-Forecast-poi-79601-1290.0,00:00:00,23:59:59,volume,22000
Design-Year-79601-1290.0,Design-Year-Model-Run,79601-1290.0,Design-Year-Forecast-poi-79601-1290.0,00:00:00,23:59:59,volume,30460
Opening-Year-79601-1291.0,Opening-Year-Model-Run,79601-1291.0,Opening-Year-Forecast-poi-79601-1291.0,00:00:00,23:59:59,volume,27140
Design-Year-79601-1291.0,Design-Year-Model-Run,79601-1291.0,Design-Year-Forecast-poi-79601-1291.0,00:00:00,23:59:59,volume,38580
Opening-Year-79601-1294.0,Opening-Year-Model-Run,79601-1294.0,Opening-Year-Forecast-poi-79601-1294.0,00:00:00,23:59:59,volume,9320
Design-Year-79601-1294.0,Design-Year-Model-Run,79601-1294.0,Design-Year-Forecast-poi-79601-1294.0,00:00:00,23:59:59,volume,11140
Opening-Year-79601-1295.0,Opening-Year-Model-Run,79601-1295.0,Opening-Year-Forecast-poi-79601-1295.0,00:00:00,23:59:59,volume,5930
Design-Year-79601-1295.0,Design-Year-Model-Run,79601-1295.0,Design-Year-Forecast-poi-79601-1295.0,00:00:00,23:59:59,volume,6910
Opening-Year-79601-1296.0,Opening-Year-Model-Run,79601-1296.0,Opening-Year-Forecast-poi-79601-1296.0,00:00:00,23:59:59,volume,5780
Design-Year-79601-1296.0,Design-Year-Model-Run,79601-1296.0,Design-Year-Forecast-poi-79601-1296.0,00:00:00,23:59:59,volume,6760
Opening-Year-79601-1297.0,Opening-Year-Model-Run,79601-1297.0,Opening-Year-Forecast-poi-79601-1297.0,00:00:00,23:59:59,volume,7590
Design-Year-79601-1297.0,Design-Year-Model-Run,79601-1297.0,Design-Year-Forecast-poi-79601-1297.0,00:00:00,23:59:59,volume,9080
Opening-Year-79601-1298.0,Opening-Year-Model-Run,79601-1298.0,Opening-Year-Forecast-poi-79601-1298.0,00:00:00,23:59:59,volume,3640
Design-Year-79601-1298.0,Design-Year-Model-Run,79601-1298.0,Design-Year-Forecast-poi-79601-1298.0,00:00:00,23:59:59,volume,4370
Opening-Year-79601-1299.0,Opening-Year-Model-Run,79601-1299.0,Opening-Year-Forecast-poi-79601-1299.0,00:00:00,23:59:59,volume,15810
Design-Year-79601-1299.0,Design-Year-Model-Run,79601-1299.0,Design-Year-Forecast-poi-79601-1299.0,00:00:00,23:59:59,volume,15810
Opening-Year-79601-1300.0,Opening-Year-Model-Run,79601-1300.0,Opening-Year-Forecast-poi-79601-1300.0,00:00:00,23:59:59,volume,20310
Design-Year-79601-1300.0,Design-Year-Model-Run,79601-1300.0,Design-Year-Forecast-poi-79601-1300.0,00:00:00,23:59:59,volume,20310
