forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-79853-1476.0,Opening-Year-Model-Run,79853-1476.0,Opening-Year-Forecast-poi-79853-1476.0,00:00:00,23:59:59,volume,8410
Design-Year-79853-1476.0,Design-Year-Model-Run,79853-1476.0,Design-Year-Forecast-poi-79853-1476.0,00:00:00,23:59:59,volume,10400
Opening-Year-79853-1477.0,Opening-Year-Model-Run,79853-1477.0,Opening-Year-Forecast-poi-79853-1477.0,00:00:00,23:59:59,volume,60810
Design-Year-79853-1477.0,Design-Year-Model-Run,79853-1477.0,Design-Year-Forecast-poi-79853-1477.0,00:00:00,23:59:59,volume,64080
Opening-Year-79853-1478.0,Opening-Year-Model-Run,79853-1478.0,Opening-Year-Forecast-poi-79853-1478.0,00:00:00,23:59:59,volume,52520
Design-Year-79853-1478.0,Design-Year-Model-Run,79853-1478.0,Design-Year-Forecast-poi-79853-1478.0,00:00:00,23:59:59,volume,55430
Opening-Year-79853-1479.0,Opening-Year-Model-Run,79853-1479.0,Opening-Year-Forecast-poi-79853-1479.0,00:00:00,23:59:59,volume,54000
Design-Year-79853-1479.0,Design-Year-Model-Run,79853-1479.0,Design-Year-Forecast-poi-79853-1479.0,00:00:00,23:59:59,volume,56260
Opening-Year-79853-1480.0,Opening-Year-Model-Run,79853-1480.0,Opening-Year-Forecast-poi-79853-1480.0,00:00:00,23:59:59,volume,61440
Design-Year-79853-1480.0,Design-Year-Model-Run,79853-1480.0,Design-Year-Forecast-poi-79853-1480.0,00:00:00,23:59:59,volume,63410
Opening-Year-79853-1491.0,Opening-Year-Model-Run,79853-1491.0,Opening-Year-Forecast-poi-79853-1491.0,00:00:00,23:59:59,volume,52400
Design-Year-79853-1491.0,Design-Year-Model-Run,79853-1491.0,Design-Year-Forecast-poi-79853-1491.0,00:00:00,23:59:59,volume,53680
