forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,79951-561,Opening Year,00:00:00,24:00,volume,130960
f3,1,79951-561,Design Year,00:00:00,24:00,volume,151160
f1,1,79951-562,Opening Year,00:00:00,24:00,volume,122890
f3,1,79951-562,Design Year,00:00:00,24:00,volume,140000
f1,1,79951-563,Opening Year,00:00:00,24:00,volume,92420
f3,1,79951-563,Design Year,00:00:00,24:00,volume,123940
f1,1,79951-564,Opening Year,00:00:00,24:00,volume,98420
f3,1,79951-564,Design Year,00:00:00,24:00,volume,104130
f1,1,79951-565,Opening Year,00:00:00,24:00,volume,130390
f3,1,79951-565,Design Year,00:00:00,24:00,volume,147510
f1,1,79951-590,Opening Year,00:00:00,24:00,volume,28050
f3,1,79951-590,Design Year,00:00:00,24:00,volume,31900
f1,1,79951-591,Opening Year,00:00:00,24:00,volume,30830
f3,1,79951-591,Design Year,00:00:00,24:00,volume,33850
f1,1,79951-592,Opening Year,00:00:00,24:00,volume,36200
f3,1,79951-592,Design Year,00:00:00,24:00,volume,38740
