forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,80174-1343,Opening Year,00:00:00,23:59:59,volume,2260
f3,1,80174-1343,Design Year,00:00:00,23:59:59,volume,2760
f1,1,80174-1344,Opening Year,00:00:00,23:59:59,volume,2670
f3,1,80174-1344,Design Year,00:00:00,23:59:59,volume,3200
f1,1,80174-1345,Opening Year,00:00:00,23:59:59,volume,1960
f3,1,80174-1345,Design Year,00:00:00,23:59:59,volume,2370
f1,1,80174-1346,Opening Year,00:00:00,23:59:59,volume,3220
f3,1,80174-1346,Design Year,00:00:00,23:59:59,volume,3750
f1,1,80174-1347,Opening Year,00:00:00,23:59:59,volume,3820
f3,1,80174-1347,Design Year,00:00:00,23:59:59,volume,4270
f1,1,80174-1348,Opening Year,00:00:00,23:59:59,volume,4630
f3,1,80174-1348,Design Year,00:00:00,23:59:59,volume,5230
f1,1,80174-1349,Opening Year,00:00:00,23:59:59,volume,1940
f3,1,80174-1349,Design Year,00:00:00,23:59:59,volume,1940
f1,1,80174-1350,Opening Year,00:00:00,23:59:59,volume,2040
f3,1,80174-1350,Design Year,00:00:00,23:59:59,volume,2270
