forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-80181-756.0,Opening-Year-Model-Run,80181-756.0,Opening-Year-Forecast-poi-80181-756.0,00:00:00,23:59:59,volume,4160
Design-Year-80181-756.0,Design-Year-Model-Run,80181-756.0,Design-Year-Forecast-poi-80181-756.0,00:00:00,23:59:59,volume,4930
Opening-Year-80181-757.0,Opening-Year-Model-Run,80181-757.0,Opening-Year-Forecast-poi-80181-757.0,00:00:00,23:59:59,volume,4530
Design-Year-80181-757.0,Design-Year-Model-Run,80181-757.0,Design-Year-Forecast-poi-80181-757.0,00:00:00,23:59:59,volume,5570
Opening-Year-80181-825.0,Opening-Year-Model-Run,80181-825.0,Opening-Year-Forecast-poi-80181-825.0,00:00:00,23:59:59,volume,4240
Design-Year-80181-825.0,Design-Year-Model-Run,80181-825.0,Design-Year-Forecast-poi-80181-825.0,00:00:00,23:59:59,volume,4440
Opening-Year-80181-826.0,Opening-Year-Model-Run,80181-826.0,Opening-Year-Forecast-poi-80181-826.0,00:00:00,23:59:59,volume,7600
Design-Year-80181-826.0,Design-Year-Model-Run,80181-826.0,Design-Year-Forecast-poi-80181-826.0,00:00:00,23:59:59,volume,7890
Opening-Year-80181-827.0,Opening-Year-Model-Run,80181-827.0,Opening-Year-Forecast-poi-80181-827.0,00:00:00,23:59:59,volume,4310
Design-Year-80181-827.0,Design-Year-Model-Run,80181-827.0,Design-Year-Forecast-poi-80181-827.0,00:00:00,23:59:59,volume,4660
Opening-Year-80181-828.0,Opening-Year-Model-Run,80181-828.0,Opening-Year-Forecast-poi-80181-828.0,00:00:00,23:59:59,volume,5260
Design-Year-80181-828.0,Design-Year-Model-Run,80181-828.0,Design-Year-Forecast-poi-80181-828.0,00:00:00,23:59:59,volume,6140
