forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-80988-3098.0,Opening-Year-Model-Run,80988-3098.0,Opening-Year-Forecast-poi-80988-3098.0,00:00:00,23:59:59,volume,24480
Design-Year-80988-3098.0,Design-Year-Model-Run,80988-3098.0,Design-Year-Forecast-poi-80988-3098.0,00:00:00,23:59:59,volume,24600
Opening-Year-80988-3099.0,Opening-Year-Model-Run,80988-3099.0,Opening-Year-Forecast-poi-80988-3099.0,00:00:00,23:59:59,volume,18880
Design-Year-80988-3099.0,Design-Year-Model-Run,80988-3099.0,Design-Year-Forecast-poi-80988-3099.0,00:00:00,23:59:59,volume,19000
Opening-Year-80988-3100.0,Opening-Year-Model-Run,80988-3100.0,Opening-Year-Forecast-poi-80988-3100.0,00:00:00,23:59:59,volume,19320
Design-Year-80988-3100.0,Design-Year-Model-Run,80988-3100.0,Design-Year-Forecast-poi-80988-3100.0,00:00:00,23:59:59,volume,19440
Opening-Year-80988-3101.0,Opening-Year-Model-Run,80988-3101.0,Opening-Year-Forecast-poi-80988-3101.0,00:00:00,23:59:59,volume,16650
Design-Year-80988-3101.0,Design-Year-Model-Run,80988-3101.0,Design-Year-Forecast-poi-80988-3101.0,00:00:00,23:59:59,volume,16770
Opening-Year-80988-3102.0,Opening-Year-Model-Run,80988-3102.0,Opening-Year-Forecast-poi-80988-3102.0,00:00:00,23:59:59,volume,16030
Design-Year-80988-3102.0,Design-Year-Model-Run,80988-3102.0,Design-Year-Forecast-poi-80988-3102.0,00:00:00,23:59:59,volume,16150
Opening-Year-80988-3103.0,Opening-Year-Model-Run,80988-3103.0,Opening-Year-Forecast-poi-80988-3103.0,00:00:00,23:59:59,volume,14530
Design-Year-80988-3103.0,Design-Year-Model-Run,80988-3103.0,Design-Year-Forecast-poi-80988-3103.0,00:00:00,23:59:59,volume,14760
Opening-Year-80988-3104.0,Opening-Year-Model-Run,80988-3104.0,Opening-Year-Forecast-poi-80988-3104.0,00:00:00,23:59:59,volume,18580
Design-Year-80988-3104.0,Design-Year-Model-Run,80988-3104.0,Design-Year-Forecast-poi-80988-3104.0,00:00:00,23:59:59,volume,18760
Opening-Year-80988-3105.0,Opening-Year-Model-Run,80988-3105.0,Opening-Year-Forecast-poi-80988-3105.0,00:00:00,23:59:59,volume,16350
Design-Year-80988-3105.0,Design-Year-Model-Run,80988-3105.0,Design-Year-Forecast-poi-80988-3105.0,00:00:00,23:59:59,volume,16530
Opening-Year-80988-3106.0,Opening-Year-Model-Run,80988-3106.0,Opening-Year-Forecast-poi-80988-3106.0,00:00:00,23:59:59,volume,14130
Design-Year-80988-3106.0,Design-Year-Model-Run,80988-3106.0,Design-Year-Forecast-poi-80988-3106.0,00:00:00,23:59:59,volume,14270
Opening-Year-80988-3107.0,Opening-Year-Model-Run,80988-3107.0,Opening-Year-Forecast-poi-80988-3107.0,00:00:00,23:59:59,volume,14040
Design-Year-80988-3107.0,Design-Year-Model-Run,80988-3107.0,Design-Year-Forecast-poi-80988-3107.0,00:00:00,23:59:59,volume,14180
