forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-81300-1512.0,Opening-Year-Model-Run,81300-1512.0,Opening-Year-Forecast-poi-81300-1512.0,00:00:00,23:59:59,volume,9390
Design-Year-81300-1512.0,Design-Year-Model-Run,81300-1512.0,Design-Year-Forecast-poi-81300-1512.0,00:00:00,23:59:59,volume,10600
Opening-Year-81300-1513.0,Opening-Year-Model-Run,81300-1513.0,Opening-Year-Forecast-poi-81300-1513.0,00:00:00,23:59:59,volume,15600
Design-Year-81300-1513.0,Design-Year-Model-Run,81300-1513.0,Design-Year-Forecast-poi-81300-1513.0,00:00:00,23:59:59,volume,17500
Opening-Year-81300-1514.0,Opening-Year-Model-Run,81300-1514.0,Opening-Year-Forecast-poi-81300-1514.0,00:00:00,23:59:59,volume,11290
Design-Year-81300-1514.0,Design-Year-Model-Run,81300-1514.0,Design-Year-Forecast-poi-81300-1514.0,00:00:00,23:59:59,volume,14730
Opening-Year-81300-1515.0,Opening-Year-Model-Run,81300-1515.0,Opening-Year-Forecast-poi-81300-1515.0,00:00:00,23:59:59,volume,14100
Design-Year-81300-1515.0,Design-Year-Model-Run,81300-1515.0,Design-Year-Forecast-poi-81300-1515.0,00:00:00,23:59:59,volume,18080
Opening-Year-81300-1527.0,Opening-Year-Model-Run,81300-1527.0,Opening-Year-Forecast-poi-81300-1527.0,00:00:00,23:59:59,volume,7300
Design-Year-81300-1527.0,Design-Year-Model-Run,81300-1527.0,Design-Year-Forecast-poi-81300-1527.0,00:00:00,23:59:59,volume,7750
Opening-Year-81300-1528.0,Opening-Year-Model-Run,81300-1528.0,Opening-Year-Forecast-poi-81300-1528.0,00:00:00,23:59:59,volume,12690
Design-Year-81300-1528.0,Design-Year-Model-Run,81300-1528.0,Design-Year-Forecast-poi-81300-1528.0,00:00:00,23:59:59,volume,14080
Opening-Year-81300-1529.0,Opening-Year-Model-Run,81300-1529.0,Opening-Year-Forecast-poi-81300-1529.0,00:00:00,23:59:59,volume,4150
Design-Year-81300-1529.0,Design-Year-Model-Run,81300-1529.0,Design-Year-Forecast-poi-81300-1529.0,00:00:00,23:59:59,volume,5270
Opening-Year-81300-1530.0,Opening-Year-Model-Run,81300-1530.0,Opening-Year-Forecast-poi-81300-1530.0,00:00:00,23:59:59,volume,3730
Design-Year-81300-1530.0,Design-Year-Model-Run,81300-1530.0,Design-Year-Forecast-poi-81300-1530.0,00:00:00,23:59:59,volume,5190
