obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
81300-1512-1,81300-1512,Opening Year,unknown,unknown,,00:00,24:00,volume,5110
81300-1512-1,81300-1512,Design Year,unknown,unknown,,00:00,24:00,volume,5110
81300-1513-1,81300-1513,Opening Year,unknown,unknown,,00:00,24:00,volume,12260
81300-1513-1,81300-1513,Design Year,unknown,unknown,,00:00,24:00,volume,12260
81300-1514-1,81300-1514,Opening Year,unknown,unknown,,00:00,24:00,volume,6240
81300-1514-1,81300-1514,Design Year,unknown,unknown,,00:00,24:00,volume,6240
81300-1515-1,81300-1515,Opening Year,unknown,unknown,,00:00,24:00,volume,9280
81300-1515-1,81300-1515,Design Year,unknown,unknown,,00:00,24:00,volume,9280
81300-1527-1,81300-1527,Opening Year,unknown,unknown,,00:00,24:00,volume,6280
81300-1527-1,81300-1527,Design Year,unknown,unknown,,00:00,24:00,volume,6280
81300-1528-1,81300-1528,Opening Year,unknown,unknown,,00:00,24:00,volume,11080
81300-1528-1,81300-1528,Design Year,unknown,unknown,,00:00,24:00,volume,11080
81300-1529-1,81300-1529,Opening Year,unknown,unknown,,00:00,24:00,volume,3490
81300-1529-1,81300-1529,Design Year,unknown,unknown,,00:00,24:00,volume,3490
81300-1530-1,81300-1530,Opening Year,unknown,unknown,,00:00,24:00,volume,2520
81300-1530-1,81300-1530,Design Year,unknown,unknown,,00:00,24:00,volume,2520
