forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-82131-1592.0,Opening-Year-Model-Run,82131-1592.0,Opening-Year-Forecast-poi-82131-1592.0,00:00:00,23:59:59,volume,3990
Design-Year-82131-1592.0,Design-Year-Model-Run,82131-1592.0,Design-Year-Forecast-poi-82131-1592.0,00:00:00,23:59:59,volume,4090
Opening-Year-82131-1593.0,Opening-Year-Model-Run,82131-1593.0,Opening-Year-Forecast-poi-82131-1593.0,00:00:00,23:59:59,volume,5200
Design-Year-82131-1593.0,Design-Year-Model-Run,82131-1593.0,Design-Year-Forecast-poi-82131-1593.0,00:00:00,23:59:59,volume,6830
Opening-Year-82131-1594.0,Opening-Year-Model-Run,82131-1594.0,Opening-Year-Forecast-poi-82131-1594.0,00:00:00,23:59:59,volume,5320
Design-Year-82131-1594.0,Design-Year-Model-Run,82131-1594.0,Design-Year-Forecast-poi-82131-1594.0,00:00:00,23:59:59,volume,7510
Opening-Year-82131-1598.0,Opening-Year-Model-Run,82131-1598.0,Opening-Year-Forecast-poi-82131-1598.0,00:00:00,23:59:59,volume,3260
Design-Year-82131-1598.0,Design-Year-Model-Run,82131-1598.0,Design-Year-Forecast-poi-82131-1598.0,00:00:00,23:59:59,volume,4150
Opening-Year-82131-1599.0,Opening-Year-Model-Run,82131-1599.0,Opening-Year-Forecast-poi-82131-1599.0,00:00:00,23:59:59,volume,3260
Design-Year-82131-1599.0,Design-Year-Model-Run,82131-1599.0,Design-Year-Forecast-poi-82131-1599.0,00:00:00,23:59:59,volume,4150
Opening-Year-82131-1600.0,Opening-Year-Model-Run,82131-1600.0,Opening-Year-Forecast-poi-82131-1600.0,00:00:00,23:59:59,volume,3860
Design-Year-82131-1600.0,Design-Year-Model-Run,82131-1600.0,Design-Year-Forecast-poi-82131-1600.0,00:00:00,23:59:59,volume,4600
Opening-Year-82131-1635.0,Opening-Year-Model-Run,82131-1635.0,Opening-Year-Forecast-poi-82131-1635.0,00:00:00,23:59:59,volume,3080
Design-Year-82131-1635.0,Design-Year-Model-Run,82131-1635.0,Design-Year-Forecast-poi-82131-1635.0,00:00:00,23:59:59,volume,4200
