obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
82131-1592-1,82131-1592,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,2860
82131-1592-1,82131-1592,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,2860
82131-1593-1,82131-1593,Opening Year,unknown,unknown,2010,00:00:00,24:00:00,volume,4760
82131-1593-1,82131-1593,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,4760
82131-1594-1,82131-1594,Opening Year,unknown,unknown,2010,00:00:00,24:00:00,volume,4760
82131-1594-1,82131-1594,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,4760
82131-1598-1,82131-1598,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,2940
82131-1598-1,82131-1598,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,2940
82131-1599-1,82131-1599,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,2940
82131-1599-1,82131-1599,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,2940
82131-1600-1,82131-1600,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,3480
82131-1600-1,82131-1600,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,3480
82131-1635-1,82131-1635,Opening Year,unknown,unknown,2010,00:00:00,24:00:00,volume,3280
82131-1635-1,82131-1635,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,3280
