obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
82315-2394.0-1,82315-2394.0,Opening-Year-Forecast-poi-82315-2394.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,16290
82315-2395.0-1,82315-2395.0,Opening-Year-Forecast-poi-82315-2395.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,8850
82315-2396.0-1,82315-2396.0,Opening-Year-Forecast-poi-82315-2396.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,13340
82315-2397.0-1,82315-2397.0,Opening-Year-Forecast-poi-82315-2397.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,11160
82315-2398.0-1,82315-2398.0,Opening-Year-Forecast-poi-82315-2398.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,8640
82315-2399.0-1,82315-2399.0,Opening-Year-Forecast-poi-82315-2399.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,4750
82315-2400.0-1,82315-2400.0,Opening-Year-Forecast-poi-82315-2400.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,6670
82315-2401.0-1,82315-2401.0,Opening-Year-Forecast-poi-82315-2401.0,unknown,unknown,2009-01-01,00:00:00,23:59:59,volume,7790
82315-2419.0-1,82315-2419.0,Opening-Year-Forecast-poi-82315-2419.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,4230
82315-2424.0-1,82315-2424.0,Opening-Year-Forecast-poi-82315-2424.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,3280
82315-2425.0-1,82315-2425.0,Opening-Year-Forecast-poi-82315-2425.0,unknown,unknown,2012-01-01,00:00:00,23:59:59,volume,3930
