forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-82967-3488.0,Opening-Year-Model-Run,82967-3488.0,Opening-Year-Forecast-poi-82967-3488.0,00:00:00,23:59:59,volume,134000
Design-Year-82967-3488.0,Design-Year-Model-Run,82967-3488.0,Design-Year-Forecast-poi-82967-3488.0,00:00:00,23:59:59,volume,148000
Opening-Year-82967-3489.0,Opening-Year-Model-Run,82967-3489.0,Opening-Year-Forecast-poi-82967-3489.0,00:00:00,23:59:59,volume,129000
Design-Year-82967-3489.0,Design-Year-Model-Run,82967-3489.0,Design-Year-Forecast-poi-82967-3489.0,00:00:00,23:59:59,volume,152000
Opening-Year-82967-3495.0,Opening-Year-Model-Run,82967-3495.0,Opening-Year-Forecast-poi-82967-3495.0,00:00:00,23:59:59,volume,81000
Design-Year-82967-3495.0,Design-Year-Model-Run,82967-3495.0,Design-Year-Forecast-poi-82967-3495.0,00:00:00,23:59:59,volume,88000
Opening-Year-82967-3496.0,Opening-Year-Model-Run,82967-3496.0,Opening-Year-Forecast-poi-82967-3496.0,00:00:00,23:59:59,volume,74000
Design-Year-82967-3496.0,Design-Year-Model-Run,82967-3496.0,Design-Year-Forecast-poi-82967-3496.0,00:00:00,23:59:59,volume,75000
Opening-Year-82967-3510.0,Opening-Year-Model-Run,82967-3510.0,Opening-Year-Forecast-poi-82967-3510.0,00:00:00,23:59:59,volume,44000
Design-Year-82967-3510.0,Design-Year-Model-Run,82967-3510.0,Design-Year-Forecast-poi-82967-3510.0,00:00:00,23:59:59,volume,52000
Opening-Year-82967-3511.0,Opening-Year-Model-Run,82967-3511.0,Opening-Year-Forecast-poi-82967-3511.0,00:00:00,23:59:59,volume,40000
Design-Year-82967-3511.0,Design-Year-Model-Run,82967-3511.0,Design-Year-Forecast-poi-82967-3511.0,00:00:00,23:59:59,volume,44000
