obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
82975-4718.0-1,82975-4718.0,Opening-Year-Forecast-poi-82975-4718.0,unknown,unknown,2015,00:00:00,23:59:59,volume,91193
82975-4719.0-1,82975-4719.0,Opening-Year-Forecast-poi-82975-4719.0,unknown,unknown,2015,00:00:00,23:59:59,volume,58790
82975-4720.0-1,82975-4720.0,Opening-Year-Forecast-poi-82975-4720.0,unknown,unknown,2015,00:00:00,23:59:59,volume,30733
82975-4721.0-1,82975-4721.0,Opening-Year-Forecast-poi-82975-4721.0,unknown,unknown,2015,00:00:00,23:59:59,volume,98076
82975-4722.0-1,82975-4722.0,Opening-Year-Forecast-poi-82975-4722.0,unknown,unknown,2015,00:00:00,23:59:59,volume,98076
82975-4723.0-1,82975-4723.0,Opening-Year-Forecast-poi-82975-4723.0,unknown,unknown,2015,00:00:00,23:59:59,volume,125546
82975-4724.0-1,82975-4724.0,Opening-Year-Forecast-poi-82975-4724.0,unknown,unknown,2015,00:00:00,23:59:59,volume,115258
82975-4725.0-1,82975-4725.0,Opening-Year-Forecast-poi-82975-4725.0,unknown,unknown,2015,00:00:00,23:59:59,volume,132212
82975-4726.0-1,82975-4726.0,Opening-Year-Forecast-poi-82975-4726.0,unknown,unknown,2015,00:00:00,23:59:59,volume,115268
82975-4727.0-1,82975-4727.0,Opening-Year-Forecast-poi-82975-4727.0,unknown,unknown,2015,00:00:00,23:59:59,volume,139021
