forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,82978-5017,Opening Year,00:00,24:00,volume,97000
f3,1,82978-5017,Design Year,00:00,24:00,volume,109000
f1,1,82978-5030,Opening Year,00:00,24:00,volume,93000
f3,1,82978-5030,Design Year,00:00,24:00,volume,101000
f1,1,82978-5031,Opening Year,00:00,24:00,volume,82000
f3,1,82978-5031,Design Year,00:00,24:00,volume,88000
f1,1,82978-5054,Opening Year,00:00,24:00,volume,88000
f3,1,82978-5054,Design Year,00:00,24:00,volume,96000
f1,1,82978-5055,Opening Year,00:00,24:00,volume,79000
f3,1,82978-5055,Design Year,00:00,24:00,volume,85000
f1,1,82978-5056,Opening Year,00:00,24:00,volume,86000
f3,1,82978-5056,Design Year,00:00,24:00,volume,93000
