forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-83138-1620.0,Opening-Year-Model-Run,83138-1620.0,Opening-Year-Forecast-poi-83138-1620.0,00:00:00,23:59:59,volume,9170
Design-Year-83138-1620.0,Design-Year-Model-Run,83138-1620.0,Design-Year-Forecast-poi-83138-1620.0,00:00:00,23:59:59,volume,10700
Opening-Year-83138-1621.0,Opening-Year-Model-Run,83138-1621.0,Opening-Year-Forecast-poi-83138-1621.0,00:00:00,23:59:59,volume,9560
Design-Year-83138-1621.0,Design-Year-Model-Run,83138-1621.0,Design-Year-Forecast-poi-83138-1621.0,00:00:00,23:59:59,volume,11140
Opening-Year-83138-1622.0,Opening-Year-Model-Run,83138-1622.0,Opening-Year-Forecast-poi-83138-1622.0,00:00:00,23:59:59,volume,10120
Design-Year-83138-1622.0,Design-Year-Model-Run,83138-1622.0,Design-Year-Forecast-poi-83138-1622.0,00:00:00,23:59:59,volume,11700
Opening-Year-83138-1623.0,Opening-Year-Model-Run,83138-1623.0,Opening-Year-Forecast-poi-83138-1623.0,00:00:00,23:59:59,volume,10120
Design-Year-83138-1623.0,Design-Year-Model-Run,83138-1623.0,Design-Year-Forecast-poi-83138-1623.0,00:00:00,23:59:59,volume,11740
Opening-Year-83138-1624.0,Opening-Year-Model-Run,83138-1624.0,Opening-Year-Forecast-poi-83138-1624.0,00:00:00,23:59:59,volume,11630
Design-Year-83138-1624.0,Design-Year-Model-Run,83138-1624.0,Design-Year-Forecast-poi-83138-1624.0,00:00:00,23:59:59,volume,13010
Opening-Year-83138-1625.0,Opening-Year-Model-Run,83138-1625.0,Opening-Year-Forecast-poi-83138-1625.0,00:00:00,23:59:59,volume,11990
Design-Year-83138-1625.0,Design-Year-Model-Run,83138-1625.0,Design-Year-Forecast-poi-83138-1625.0,00:00:00,23:59:59,volume,13300
Opening-Year-83138-1626.0,Opening-Year-Model-Run,83138-1626.0,Opening-Year-Forecast-poi-83138-1626.0,00:00:00,23:59:59,volume,9630
Design-Year-83138-1626.0,Design-Year-Model-Run,83138-1626.0,Design-Year-Forecast-poi-83138-1626.0,00:00:00,23:59:59,volume,10390
Opening-Year-83138-1627.0,Opening-Year-Model-Run,83138-1627.0,Opening-Year-Forecast-poi-83138-1627.0,00:00:00,23:59:59,volume,9580
Design-Year-83138-1627.0,Design-Year-Model-Run,83138-1627.0,Design-Year-Forecast-poi-83138-1627.0,00:00:00,23:59:59,volume,10560
Opening-Year-83138-1628.0,Opening-Year-Model-Run,83138-1628.0,Opening-Year-Forecast-poi-83138-1628.0,00:00:00,23:59:59,volume,8430
Design-Year-83138-1628.0,Design-Year-Model-Run,83138-1628.0,Design-Year-Forecast-poi-83138-1628.0,00:00:00,23:59:59,volume,11070
Opening-Year-83138-1629.0,Opening-Year-Model-Run,83138-1629.0,Opening-Year-Forecast-poi-83138-1629.0,00:00:00,23:59:59,volume,8890
Design-Year-83138-1629.0,Design-Year-Model-Run,83138-1629.0,Design-Year-Forecast-poi-83138-1629.0,00:00:00,23:59:59,volume,12300
