forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,83273-1070,Opening Year,00:00,24:00,volume,62100
f3,1,83273-1070,Design Year,00:00,24:00,volume,95100
f1,1,83273-1071,Opening Year,00:00,24:00,volume,67000
f3,1,83273-1071,Design Year,00:00,24:00,volume,95100
f1,1,83273-1081,Opening Year,00:00,24:00,volume,66900
f3,1,83273-1081,Design Year,00:00,24:00,volume,93600
f1,1,83273-1082,Opening Year,00:00,24:00,volume,81100
f3,1,83273-1082,Design Year,00:00,24:00,volume,99100
f1,1,83273-1083,Opening Year,00:00,24:00,volume,99000
f3,1,83273-1083,Design Year,00:00,24:00,volume,115600
f1,1,83273-1084,Opening Year,00:00,24:00,volume,106100
f3,1,83273-1084,Design Year,00:00,24:00,volume,120700
f1,1,83273-1085,Opening Year,00:00,24:00,volume,104200
f3,1,83273-1085,Design Year,00:00,24:00,volume,118300
f1,1,83273-1086,Opening Year,00:00,24:00,volume,102100
f3,1,83273-1086,Design Year,00:00,24:00,volume,115500
f1,1,83273-1087,Opening Year,00:00,24:00,volume,106000
f3,1,83273-1087,Design Year,00:00,24:00,volume,115100
