obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
83273-1070-1,83273-1070,Opening Year,unknown,unknown,,00:00,24:00,volume,48840
83273-1070-1,83273-1070,Design Year,unknown,unknown,,00:00,24:00,volume,48840
83273-1071-1,83273-1071,Opening Year,unknown,unknown,,00:00,24:00,volume,52430
83273-1071-1,83273-1071,Design Year,unknown,unknown,,00:00,24:00,volume,52430
83273-1081-1,83273-1081,Opening Year,unknown,unknown,,00:00,24:00,volume,57610
83273-1081-1,83273-1081,Design Year,unknown,unknown,,00:00,24:00,volume,57610
83273-1082-1,83273-1082,Opening Year,unknown,unknown,,00:00,24:00,volume,63540
83273-1082-1,83273-1082,Design Year,unknown,unknown,,00:00,24:00,volume,63540
83273-1083-1,83273-1083,Opening Year,unknown,unknown,,00:00,24:00,volume,79840
83273-1083-1,83273-1083,Design Year,unknown,unknown,,00:00,24:00,volume,79840
83273-1084-1,83273-1084,Opening Year,unknown,unknown,,00:00,24:00,volume,86170
83273-1084-1,83273-1084,Design Year,unknown,unknown,,00:00,24:00,volume,86170
83273-1085-1,83273-1085,Opening Year,unknown,unknown,,00:00,24:00,volume,84460
83273-1085-1,83273-1085,Design Year,unknown,unknown,,00:00,24:00,volume,84460
83273-1086-1,83273-1086,Opening Year,unknown,unknown,,00:00,24:00,volume,82670
83273-1086-1,83273-1086,Design Year,unknown,unknown,,00:00,24:00,volume,82670
83273-1087-1,83273-1087,Opening Year,unknown,unknown,,00:00,24:00,volume,87560
83273-1087-1,83273-1087,Design Year,unknown,unknown,,00:00,24:00,volume,87560
