forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,83301-1261,Opening Year,00:00:00,24:00,volume,81000
f3,1,83301-1261,Design Year,00:00:00,24:00,volume,96200
f1,1,83301-1262,Opening Year,00:00:00,24:00,volume,91200
f3,1,83301-1262,Design Year,00:00:00,24:00,volume,107610
f1,1,83301-1263,Opening Year,00:00:00,24:00,volume,84070
f3,1,83301-1263,Design Year,00:00:00,24:00,volume,98060
f1,1,83301-1264,Opening Year,00:00:00,24:00,volume,78530
f3,1,83301-1264,Design Year,00:00:00,24:00,volume,88920
f1,1,83301-1265,Opening Year,00:00:00,24:00,volume,87630
f3,1,83301-1265,Design Year,00:00:00,24:00,volume,103460
f1,1,83301-1266,Opening Year,00:00:00,24:00,volume,108110
f3,1,83301-1266,Design Year,00:00:00,24:00,volume,123820
f1,1,83301-1267,Opening Year,00:00:00,24:00,volume,110490
f3,1,83301-1267,Design Year,00:00:00,24:00,volume,122860
f1,1,83301-1268,Opening Year,00:00:00,24:00,volume,113350
f3,1,83301-1268,Design Year,00:00:00,24:00,volume,121930
f1,1,83301-1269,Opening Year,00:00:00,24:00,volume,102690
f3,1,83301-1269,Design Year,00:00:00,24:00,volume,106920
