poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
83413-2101,", , CRA988.57",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA988.57"
83413-2101,", , CRA988.57",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA988.57"
83413-2102,", , CRA989.32",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA989.32"
83413-2102,", , CRA989.32",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA989.32"
83413-2103,", , CRA9811.11",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA9811.11"
83413-2103,", , CRA9811.11",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA9811.11"
83413-2104,", , CRA9814.49",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA9814.49"
83413-2104,", , CRA9814.49",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA9814.49"
83413-2105,", , CRA9815.89",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA9815.89"
83413-2105,", , CRA9815.89",5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT,", , CRA9815.89"
