forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-83667-1932.0,Opening-Year-Model-Run,83667-1932.0,Opening-Year-Forecast-poi-83667-1932.0,00:00:00,23:59:59,volume,5520
Design-Year-83667-1932.0,Design-Year-Model-Run,83667-1932.0,Design-Year-Forecast-poi-83667-1932.0,00:00:00,23:59:59,volume,6700
Opening-Year-83667-1983.0,Opening-Year-Model-Run,83667-1983.0,Opening-Year-Forecast-poi-83667-1983.0,00:00:00,23:59:59,volume,6540
Design-Year-83667-1983.0,Design-Year-Model-Run,83667-1983.0,Design-Year-Forecast-poi-83667-1983.0,00:00:00,23:59:59,volume,8030
Opening-Year-83667-1984.0,Opening-Year-Model-Run,83667-1984.0,Opening-Year-Forecast-poi-83667-1984.0,00:00:00,23:59:59,volume,8040
Design-Year-83667-1984.0,Design-Year-Model-Run,83667-1984.0,Design-Year-Forecast-poi-83667-1984.0,00:00:00,23:59:59,volume,9700
Opening-Year-83667-1990.0,Opening-Year-Model-Run,83667-1990.0,Opening-Year-Forecast-poi-83667-1990.0,00:00:00,23:59:59,volume,2300
Design-Year-83667-1990.0,Design-Year-Model-Run,83667-1990.0,Design-Year-Forecast-poi-83667-1990.0,00:00:00,23:59:59,volume,3210
Opening-Year-83667-1991.0,Opening-Year-Model-Run,83667-1991.0,Opening-Year-Forecast-poi-83667-1991.0,00:00:00,23:59:59,volume,1500
Design-Year-83667-1991.0,Design-Year-Model-Run,83667-1991.0,Design-Year-Forecast-poi-83667-1991.0,00:00:00,23:59:59,volume,1810
