forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,84437-2216,Opening Year,00:00:00,23:59:59,volume,72790
f3,1,84437-2216,Design Year,00:00:00,23:59:59,volume,83240
f1,1,84437-2217,Opening Year,00:00:00,23:59:59,volume,84290
f3,1,84437-2217,Design Year,00:00:00,23:59:59,volume,95900
f1,1,84437-2218,Opening Year,00:00:00,23:59:59,volume,95930
f3,1,84437-2218,Design Year,00:00:00,23:59:59,volume,110210
f1,1,84437-2219,Opening Year,00:00:00,23:59:59,volume,107070
f3,1,84437-2219,Design Year,00:00:00,23:59:59,volume,122270
f1,1,84437-2229,Opening Year,00:00:00,23:59:59,volume,30280
f3,1,84437-2229,Design Year,00:00:00,23:59:59,volume,32560
f1,1,84437-2230,Opening Year,00:00:00,23:59:59,volume,32560
f3,1,84437-2230,Design Year,00:00:00,23:59:59,volume,34880
f1,1,84437-2231,Opening Year,00:00:00,23:59:59,volume,36160
f3,1,84437-2231,Design Year,00:00:00,23:59:59,volume,41510
f1,1,84437-2232,Opening Year,00:00:00,23:59:59,volume,28920
f3,1,84437-2232,Design Year,00:00:00,23:59:59,volume,34120
f1,1,84437-2233,Opening Year,00:00:00,23:59:59,volume,27800
f3,1,84437-2233,Design Year,00:00:00,23:59:59,volume,33000
