forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-84444-1464.0,Opening-Year-Model-Run,84444-1464.0,Opening-Year-Forecast-poi-84444-1464.0,00:00:00,23:59:59,volume,164880
Design-Year-84444-1464.0,Design-Year-Model-Run,84444-1464.0,Design-Year-Forecast-poi-84444-1464.0,00:00:00,23:59:59,volume,187570
Opening-Year-84444-1465.0,Opening-Year-Model-Run,84444-1465.0,Opening-Year-Forecast-poi-84444-1465.0,00:00:00,23:59:59,volume,168580
Design-Year-84444-1465.0,Design-Year-Model-Run,84444-1465.0,Design-Year-Forecast-poi-84444-1465.0,00:00:00,23:59:59,volume,190350
Opening-Year-84444-1466.0,Opening-Year-Model-Run,84444-1466.0,Opening-Year-Forecast-poi-84444-1466.0,00:00:00,23:59:59,volume,169960
Design-Year-84444-1466.0,Design-Year-Model-Run,84444-1466.0,Design-Year-Forecast-poi-84444-1466.0,00:00:00,23:59:59,volume,193340
Opening-Year-84444-1467.0,Opening-Year-Model-Run,84444-1467.0,Opening-Year-Forecast-poi-84444-1467.0,00:00:00,23:59:59,volume,172870
Design-Year-84444-1467.0,Design-Year-Model-Run,84444-1467.0,Design-Year-Forecast-poi-84444-1467.0,00:00:00,23:59:59,volume,197090
Opening-Year-84444-1485.0,Opening-Year-Model-Run,84444-1485.0,Opening-Year-Forecast-poi-84444-1485.0,00:00:00,23:59:59,volume,66180
Design-Year-84444-1485.0,Design-Year-Model-Run,84444-1485.0,Design-Year-Forecast-poi-84444-1485.0,00:00:00,23:59:59,volume,67400
